Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Porc_Over_Home,Porc_Over_Away,CustoGolHome,CustoGolAway,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_CG_A,DP_CG_A,CV_CG_A,MediaCustoGolHome,MediaCustoGolAway,Last_CG_H,Last_CG_A,Acima_Last_CG_H,Acima_Last_CG_A,Abaixo_Last_CG_H,Abaixo_Last_CG_A,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA
2023-11-10,Eua Nba,21:00,Detroit Pistons,Philadelphia 76ers,3.82,1.33,220.5,1.83,1.98,6.5,2.09,1.73,KzlrTLTe,0.2617801047120419,0.7518796992481203,0.5464480874316939,0.5050505050505051,0.013659803960162087,1.0,0.6,,,418.21000000000004,234.03576756555825,0.5596130354739443,212.218,74.14619626117043,0.34938693353613,446.18999999999994,303.504,332.45,185.82,0.0,0.0,0.0,0.0,0.6837653922930109,0.05567769930602733,0.13327667079955866,-2.95,-0.5900000000000001,-4.779661016949151,0.2789483254317321,0.2,-0.07894832543173208,0.33000000000000007,0.06600000000000002,5.0,0.39512348689456483,0.7,0.3048765131054351
2023-11-10,Eua Nba,21:00,Washington Wizards,Charlotte Hornets,1.81,2.17,241.5,1.86,1.96,-3.5,2.07,1.74,fBiVRWlJ,0.5524861878453039,0.4608294930875576,0.5376344086021505,0.5102040816326531,0.013315680932861618,0.6,0.6,,,336.776,90.96056909452581,0.2700921950926604,257.34000000000003,49.14303612924217,0.19096540036233062,409.8299999999999,525.24,231.64999999999998,325.00000000000006,0.0,0.0,0.0,0.0,0.12791881468701358,0.0370212974443218,0.12249093847326016,-0.4000000000000008,-0.08000000000000015,-10.12499999999998,0.42900282640679493,0.5,0.07099717359320507,14.65,2.93,0.39931740614334466,0.31756534271567327,0.7,0.3824346572843267
2023-11-10,Eua Nba,21:30,Boston Celtics,Brooklyn Nets,1.19,5.78,223.5,1.86,1.94,-11.5,1.98,1.83,reC8ujJI,0.8403361344537815,0.17301038062283736,0.5376344086021505,0.5154639175257733,0.013346515076618992,0.6,0.8,,,161.118,30.268540103546446,0.18786566431774504,326.578,112.26530149605442,0.34376259728473574,141.41400000000002,281.78599999999994,178.24999999999997,272.5,0.0,0.0,0.0,0.0,0.9313113703432576,0.02977291710259142,0.05567769930602733,-2.5400000000000005,-0.5080000000000001,-0.3740157480314959,0.8006450582908438,0.4,-0.40064505829084374,0.5100000000000018,0.10200000000000035,46.862745098039056,0.43829584684048994,0.6,0.16170415315951003
2023-11-10,Eua Nba,22:00,Memphis Grizzlies,Utah Jazz,1.58,2.61,229.5,1.8,1.95,-5.5,2.05,1.75,lYYZeB3a,0.6329113924050632,0.3831417624521073,0.5555555555555556,0.5128205128205129,0.016053154857170515,0.2,0.4,,,215.66,23.721010728887585,0.1099926306634869,305.448,81.41665658819453,0.26654833748524964,217.84,548.428,205.01999999999998,381.14,0.0,0.0,0.0,0.0,0.347646770702694,0.056568542494923775,0.11164843913471797,-3.46,-0.692,-0.8381502890173412,0.5912160538140283,0.4,-0.1912160538140283,-5.0,-1.0,-1.6099999999999999,0.29989058010479674,0.2,-0.09989058010479673
2023-11-10,Eua Nba,22:00,San Antonio Spurs,Minnesota Timberwolves,3.12,1.44,224.5,1.82,1.95,1.5,2.08,1.75,b1uk5zbA,0.3205128205128205,0.6944444444444444,0.5494505494505494,0.5128205128205129,0.014957264957264904,1.0,0.6,,,370.66,75.2068098645329,0.20289971905393864,172.586,14.136713903874558,0.08191112780801778,444.11400000000003,323.9580000000001,266.79999999999995,196.62,0.0,0.0,0.0,0.0,0.5210260492953509,0.04876598490941703,0.12185129910786462,-1.72,-0.344,-6.16279069767442,0.3820938430985414,0.4,0.017906156901458636,-5.0,-1.0,-0.43999999999999995,0.4321339320351868,0.3,-0.1321339320351868
2023-11-10,Eua Nba,22:30,Dallas Mavericks,Los Angeles Clippers,1.76,2.24,230.5,1.83,2.02,-2.5,2.01,1.86,06wD782B,0.5681818181818182,0.4464285714285714,0.5464480874316939,0.49504950495049505,0.014610389610389518,0.8,0.6,,,233.84,75.1813091798753,0.32150748024236786,196.186,86.38870892657211,0.44034084453820405,176.88799999999998,341.75200000000007,174.0,149.73000000000002,0.0,0.0,0.0,0.0,0.1697056274847715,0.06979235762360728,0.05481447916174776,-0.6500000000000001,-0.13000000000000003,-5.846153846153845,0.6405722197719027,0.4,-0.24057221977190268,-5.0,-1.0,-1.2400000000000002,0.4436832764530501,0.2,-0.2436832764530501
2023-11-10,Europa Euroliga,16:00,Alba Berlin,Panathinaikos,2.62,1.56,161.5,1.91,1.91,2.5,2.1,1.67,z9RAjM8p,0.38167938931297707,0.641025641025641,0.5235602094240838,0.5235602094240838,0.022705030338618037,0.0,0.0,,,190.39399999999998,99.97593400413922,0.5251002342728197,,,,0.0,0.0,276.25,295.2,0.0,0.0,0.0,0.0,0.35862831964485187,0.0,0.16130287316191808,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-10,Europa Euroliga,16:30,Barcelona,Crvena zvezda,1.23,4.44,158.5,1.91,1.91,-10.5,2.0,1.71,EaQEktOj,0.8130081300813008,0.2252252252252252,0.5235602094240838,0.5235602094240838,0.03823335530652594,0.0,0.0,,,,,,,,,0.0,0.0,100.80000000000001,215.0,0.0,0.0,0.0,0.0,0.8006394242006412,0.0,0.1105449954415627,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-10,Europa Euroliga,17:00,Monaco,Lyon-Villeurbanne,1.18,5.4,163.5,1.91,1.91,-11.5,2.0,1.71,80bs8lvI,0.8474576271186441,0.18518518518518517,0.5235602094240838,0.5235602094240838,0.03264281230382937,0.0,0.0,,,,,,,,,0.0,0.0,94.64000000000001,89.76,0.0,0.0,0.0,1.0,0.9069880293639,0.0,0.1105449954415627,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-10,Alemanha Bbl,16:00,Rostock,Syntainics MBC,1.45,2.81,177.5,1.81,1.94,-6.5,2.02,1.73,QoG3yYxT,0.6896551724137931,0.35587188612099646,0.5524861878453039,0.5154639175257733,0.045527058534789555,0.0,0.0,,,,,,,,,0.0,0.0,112.66000000000001,373.75,0.0,0.0,0.0,0.0,0.45148601991253745,0.04902607016226725,0.10936584882351937,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
