Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Porc_Over_Home,Porc_Over_Away,CustoGolHome,CustoGolAway,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_CG_A,DP_CG_A,CV_CG_A,MediaCustoGolHome,MediaCustoGolAway,Last_CG_H,Last_CG_A,Acima_Last_CG_H,Acima_Last_CG_A,Abaixo_Last_CG_H,Abaixo_Last_CG_A,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA
2023-11-24,Eua Ncaa,21:00,Dayton,Youngstown State,1.03,11.5,139.5,1.83,1.83,-13.5,1.95,1.87,juQ1hP5m,0.970873786407767,0.08695652173913043,0.5464480874316939,0.5464480874316939,0.05783030814689738,0.0,0.0,,,,,,,,,0.0,0.0,66.78,447.02000000000004,0.0,0.0,1.0,0.0,1.1817091778169437,0.0,0.02961703795545743,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Eua Ncaa,21:00,Fairfield,New Hampshire,1.83,2.0,142.5,1.83,1.83,-1.5,2.0,1.73,A96yAxY1,0.5464480874316939,0.5,0.5464480874316939,0.5464480874316939,0.04644808743169393,0.0,0.0,,,,,,,,,0.0,0.0,0.0,249.24,0.0,0.0,0.0,0.0,0.06277188135859688,0.0,0.10236934633799885,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Eua Ncaa,21:00,Kentucky,Marshall,1.04,10.5,156.5,1.91,1.91,-18.5,1.83,1.83,IqXFVfzk,0.9615384615384615,0.09523809523809523,0.5235602094240838,0.5235602094240838,0.056776556776556575,0.0,0.0,,,,,,,,,0.0,0.0,230.16,129.93,0.0,0.0,0.0,0.0,1.1593119844063675,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Eua Ncaa,21:00,Ohio,George Washington,1.69,2.18,152.5,1.8,1.91,-2.5,1.91,1.91,AXxcJ1Rn,0.591715976331361,0.4587155963302752,0.5555555555555556,0.5235602094240838,0.050431572661636226,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17906063192837646,0.04193086033990304,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Eua Ncaa,21:00,Ohio State,Alabama,3.38,1.31,150.5,1.83,1.83,7.5,1.91,1.91,tUIEkNk6,0.2958579881656805,0.7633587786259541,0.5464480874316939,0.5464480874316939,0.05921676679163457,0.0,0.0,,,,,,,,,0.0,0.0,74.46000000000001,0.0,0.0,0.0,1.0,0.0,0.624183811111366,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Eua Ncaa,22:00,Clemson,Alcorn State,1.01,16.0,148.5,1.91,1.8,-22.5,1.91,1.91,Myd71500,0.9900990099009901,0.0625,0.5235602094240838,0.5555555555555556,0.05259900990099009,0.0,0.0,,,,,,,,,0.0,0.0,87.72000000000001,304.98,0.0,0.0,0.0,0.0,1.2462705055833447,0.04193086033990304,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Eua Ncaa,22:00,LSU,North Florida,1.02,12.5,146.5,1.83,1.83,-19.5,1.83,1.83,SCeYwWwF,0.9803921568627451,0.08,0.5464480874316939,0.5464480874316939,0.06039215686274502,0.0,0.0,,,,,,,,,0.0,0.0,112.86,119.35000000000001,0.0,0.0,0.0,0.0,1.20082630887893,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Eua Ncaa,22:00,UTRGV,Hawaii,4.89,1.18,149.5,1.91,1.91,10.5,1.83,1.83,dEbAeodG,0.20449897750511248,0.8474576271186441,0.5235602094240838,0.5235602094240838,0.05195660462375651,0.0,0.0,,,,,,,,,0.0,0.0,188.99999999999997,0.0,0.0,0.0,0.0,0.0,0.8643710570682342,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Europa Liga Aba,14:00,Cibona,Mega Basket,2.64,1.46,162.5,1.86,1.8,3.5,2.06,1.68,4MbrUSxf,0.3787878787878788,0.684931506849315,0.5376344086021505,0.5555555555555556,0.06371938563719381,0.0,0.0,,,188.38600000000002,132.48026751180723,0.7032383909197457,,,,0.0,0.0,111.0,136.61999999999998,0.0,0.0,0.0,0.0,0.40701756185372007,0.023183828891362234,0.14369014804860328,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Europa Liga Aba,16:00,Igokea,Zadar,1.33,3.21,159.5,1.8,1.87,-8.5,2.08,1.66,8f5ZVl8s,0.7518796992481203,0.3115264797507788,0.5555555555555556,0.53475935828877,0.06340617899889911,0.0,0.0,,,,,,,,,0.0,0.0,198.88,161.54000000000002,0.0,0.0,0.0,0.0,0.5856214751677133,0.026974100644718457,0.15881542679056151,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Europa Liga Bnxt,16:30,Kortrijk,Mechelen,2.2,1.62,154.5,1.83,1.85,1.5,2.0,1.72,0plrBsfi,0.45454545454545453,0.6172839506172839,0.5464480874316939,0.5405405405405405,0.07182940516273839,0.0,0.0,,,,,,,,,0.0,0.0,196.23999999999998,0.0,0.0,0.0,0.0,0.0,0.2147235251770668,0.0076859432737668276,0.10644618211410395,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Europa Liga Bnxt,16:30,Spirou Charleroi,Oostende,2.76,1.41,147.5,1.85,1.85,4.5,2.0,1.72,ns00nbHj,0.3623188405797102,0.7092198581560284,0.5405405405405405,0.5405405405405405,0.07153869873573848,0.0,0.0,,,,,,,,,0.0,0.0,90.72,64.35,0.0,0.0,0.0,1.0,0.4578389230704264,0.0,0.10644618211410395,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Europa Liga Letônia,14:00,Tartu Ulikool,TAL TECH,1.36,2.97,154.5,1.87,1.79,-7.5,2.03,1.7,zguNsmaE,0.7352941176470588,0.33670033670033667,0.53475935828877,0.5586592178770949,0.07199445434739538,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5258392229608968,0.030911771855149643,0.1251180899686652,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Europa Liga Letônia,14:00,Valmiera Glass Via,BK Liepaja,2.65,1.44,163.5,1.83,1.87,3.5,2.08,1.67,ryIJWy93,0.37735849056603776,0.6944444444444444,0.5464480874316939,0.53475935828877,0.0718029350104823,0.0,0.0,,,,,,,,,0.0,0.0,167.2,76.65,0.0,0.0,0.0,1.0,0.41838591943067116,0.015288795268898337,0.15462068281945843,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Filipinas Copa Commissioners,05:00,Phoenix Fuelmasters,Blackwater Bossing,1.45,2.67,196.5,1.8,1.86,-6.5,2.07,1.67,CvnATyDt,0.6896551724137931,0.37453183520599254,0.5555555555555556,0.5376344086021505,0.06418700761978569,0.0,0.0,,,,,,,,,0.0,0.0,283.36,123.53999999999999,0.0,0.0,0.0,0.0,0.4187719772075669,0.023183828891362234,0.15125278741958234,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Filipinas Copa Commissioners,09:00,Rain Or Shine Paint.,Ginebra Kings,3.21,1.33,198.5,1.86,1.88,6.5,1.98,1.74,61oESeSn,0.3115264797507788,0.7518796992481203,0.5376344086021505,0.5319148936170213,0.06340617899889911,0.0,0.0,,,,,,,,,0.0,0.0,172.48,0.0,0.0,0.0,0.0,0.0,0.5856214751677133,0.00756263937097904,0.09123958466923195,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
