Fixture ID,Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
E9sQxDuh,2023-12-09,Brasil Nbb,17:00,Pinheiros,São José,1.95,1.77,151.5,1.88,1.79,-4.5,2.09,1.66
06wMwgQo,2023-12-09,Brasil Nbb,17:00,São Paulo,R10 Score Vasco da Gama,1.39,2.84,149.5,1.84,1.86,-6.5,1.95,1.76
nNuYziA4,2023-12-09,Brasil Nbb,18:00,Bauru,Brasília,1.12,5.61,155.5,1.83,1.87,-13.5,1.97,1.74
8WtUyXfb,2023-12-09,Brasil Nbb,18:00,Franca,Cerrado,1.03,10.1,159.5,1.85,1.85,-18.5,2.0,1.72
4bzwzBPA,2023-12-09,Brasil Nbb,19:00,Corinthians Paulista,Botafogo,1.21,4.12,156.5,1.87,1.79,-10.5,1.98,1.74
8bJOURZE,2023-12-09,Espanha Acb,14:00,Bilbao,Breogan,1.37,3.12,155.5,1.87,1.92,-8.5,2.1,1.65
KznhDa4s,2023-12-09,Espanha Acb,14:00,Granada,Palencia,1.37,3.12,163.5,1.82,1.96,-7.5,2.01,1.78
EcodCJJm,2023-12-09,Espanha Acb,16:45,Manresa,Basquet Girona,1.42,2.9,169.5,1.83,1.93,-6.5,2.04,1.74
hlp0BwZg,2023-12-09,Espanha Acb,16:45,MoraBanc Andorra,Unicaja,3.08,1.38,166.5,1.86,1.92,5.5,1.99,1.78
0QmzRl94,2023-12-09,Eua Nba,00:00,Portland Trail Blazers,Dallas Mavericks,4.1,1.3,230.5,1.82,2.11,9.5,2.05,1.89
ljpWRUgb,2023-12-09,Eua Nba,00:00,Utah Jazz,Los Angeles Clippers,3.53,1.37,223.5,1.86,2.07,7.5,1.97,1.97
OQs6RxVk,2023-12-09,Eua Torneio Nba In,22:30,Los Angeles Lakers,Indiana Pacers,1.57,2.63,238.5,1.83,2.05,-4.5,2.05,1.89
bkel8Ej4,2023-12-09,Itália Liga A,15:30,Venezia,Scafati,1.31,3.51,166.5,1.88,1.9,-9.5,2.04,1.74
GYXTP9sQ,2023-12-09,Itália Liga A,16:30,Tortona,Pistoia,1.37,3.12,158.5,1.86,1.92,-8.5,2.03,1.71
jwLjgwWA,2023-12-09,Alemanha Pro A,15:00,Bayreuth,Giessen,1.33,3.12,172.5,1.87,1.79,-8.5,2.1,1.65
ATCrea1b,2023-12-09,Alemanha Pro A,15:00,Bochum,PS Karlsruhe,2.22,1.61,171.5,1.87,1.79,1.5,2.09,1.66
hh2mfJG4,2023-12-09,Alemanha Pro A,15:00,G. Dusseldorf,Dresden,2.02,1.72,169.5,1.8,1.86,1.5,1.9,1.81
p0KfhcoH,2023-12-09,Alemanha Pro A,15:30,Artland,Frankfurt,3.12,1.33,153.5,1.84,1.86,6.5,1.97,1.74
OjJbiH0N,2023-12-09,Alemanha Pro A,15:30,Paderborn,Phoenix Hagen,3.25,1.31,163.5,1.87,1.83,6.5,2.08,1.67
nNHky5EP,2023-12-09,Alemanha Pro B,11:30,Ludwigsburg 2,Oberhaching,1.35,3.02,164.5,1.85,1.85,-8.5,2.07,1.67
n9Ov09a0,2023-12-09,Alemanha Copa Da Alemanha,10:00,Vechta,Bamberg,1.32,3.27,175.5,1.87,1.86,-9.5,2.08,1.67
QaNraTE6,2023-12-09,Alemanha Copa Da Alemanha,12:00,Syntainics MBC,Alba Berlin,2.89,1.39,175.5,1.86,1.8,5.5,2.02,1.71
4pZZ0kpf,2023-12-09,Alemanha Copa Da Alemanha,14:30,Chemnitz,Ulm,1.7,2.1,169.5,1.87,1.87,-3.5,2.03,1.7
lM8XjYAa,2023-12-09,Alemanha Dbbl Feminina,15:00,Marburg F,Freiburg F,1.63,2.19,148.5,1.87,1.79,-3.5,1.95,1.76
ry8GpHvh,2023-12-09,Argentina Liga A,11:00,Boca Juniors,Quimsa,1.68,2.1,158.5,1.87,1.83,-3.5,2.02,1.7
bTDS0lnm,2023-12-09,Argentina Liga A,20:00,Ferro,Instituto de Cordoba,2.68,1.43,158.5,1.86,1.84,3.5,2.1,1.66
0nu1ZNA2,2023-12-09,Argentina Liga A,21:00,Gimnasia,Obras,1.51,2.45,166.5,1.81,1.85,-4.5,1.95,1.76
6RAfujwg,2023-12-09,Argentina Liga A,22:00,San Martin,Obera TC,1.33,3.12,155.5,1.8,1.86,-8.5,2.1,1.65
6o1d5hFm,2023-12-09,Austrália Nbl,03:30,NZ Breakers,Tasmania JackJumpers,1.73,2.12,171.5,1.88,1.9,-3.5,2.08,1.67
ro7PSXfL,2023-12-09,Austrália Nbl,06:00,Adelaide 36ers,Cairns Taipans,1.93,1.88,173.5,1.88,1.9,-1.5,2.03,1.7
42h6OO1G,2023-12-09,Austrália Liga Feminina Wnbl,05:00,Southside F,Bendigo F,1.53,2.44,153.5,1.8,1.86,-4.5,2.0,1.72
SKZ6gD3m,2023-12-09,Áustria Superliga,14:00,BBC Nord,Furstenfeld,1.36,2.97,159.5,1.85,1.85,-7.5,2.03,1.7
G6sp6vTh,2023-12-09,Áustria Liga Zweite,11:00,Steiermark,Upper Austrian Ballers,3.2,1.32,162.5,1.86,1.8,6.5,1.94,1.77
fXl0aDCB,2023-12-09,Bahrein Premier League,11:30,Bahrain Club,Nuwaidrad,14.7,1.01,176.5,1.85,1.85,8.5,2.0,1.72
b3b0v1H3,2023-12-09,Bósnia E Herzegovina Prvenstvo Bih,14:00,Promo,KK Bosna,5.3,1.13,164.5,1.85,1.85,11.5,1.99,1.73
4tadus2c,2023-12-09,Bósnia E Herzegovina Prvenstvo Bih,16:00,Spars Ilidza,Sloboda,1.73,2.01,171.5,1.87,1.79,-2.5,1.99,1.73
h6ehtNni,2023-12-09,Bósnia E Herzegovina Prvenstvo Bih,16:30,Borac Banja Luka,Leotar Trebinje,1.29,3.37,144.5,1.86,1.84,-9.5,2.09,1.66
2ysb8WlS,2023-12-09,Bósnia E Herzegovina Prvenstvo Bih Feminina,13:30,Banovici F,Celik F,2.53,1.48,138.5,1.85,1.85,-3.5,1.85,1.85
65oJ3jcq,2023-12-09,Bósnia E Herzegovina Prvenstvo Bih Feminina,14:00,Orlovi F,Jedinstvo Dzenex F,1.02,24.0,132.5,1.81,1.89,-43.5,2.07,1.67
pSQSVCoP,2023-12-09,Bulgária Nbl,12:00,CSKA Sofia,Beroe,1.23,3.86,167.5,1.86,1.84,-11.5,2.09,1.66
6wTePAOh,2023-12-09,Bulgária Nbl,13:00,Chernomorets,Levski,1.11,5.77,156.5,1.83,1.85,-15.5,1.98,1.74
WOxo7T8O,2023-12-09,Bulgária Nbl,14:00,Academic Plovdiv,Balkan,4.22,1.2,161.5,1.88,1.78,9.5,1.99,1.73
Uihsg0Qd,2023-12-09,Catar Liga De Basquete Do Catar,11:00,Al Khor,Catar,6.09,1.1,153.5,1.88,1.79,11.5,2.08,1.67
8riohKu3,2023-12-09,Catar Liga De Basquete Do Catar,13:00,Al Shamal,Al-Rayyan,3.61,1.26,146.5,1.85,1.85,7.5,2.04,1.69
rLyRqAjA,2023-12-09,Chile Copa Do Chile,20:00,Puente Alto,U. De Concepcion,9.5,1.03,158.5,1.85,1.81,17.5,1.9,1.8
tWo6z6Dd,2023-12-09,Chile Copa Do Chile,20:30,CD Puerto Varas,Ancud,4.77,1.13,160.5,1.85,1.81,10.5,1.88,1.78
IeHacIUp,2023-12-09,China Cba,08:35,Beijing,Guangdong,2.08,1.7,208.5,1.8,1.92,1.5,1.92,1.8
YNuT2v7N,2023-12-09,China Cba,08:35,Jiangsu Dragons,Zhejiang Chouzhou,8.4,1.06,199.5,1.8,1.92,15.5,1.95,1.75
p25sM17o,2023-12-09,China Cba,08:35,Shandong,Fujian,1.34,3.14,211.5,1.8,1.92,-8.5,1.98,1.71
GnVX1bMT,2023-12-09,China Cba,08:35,Shenzhen,Qingdao,1.32,3.27,198.5,1.83,1.91,-9.5,1.95,1.75
Oh4oLLMi,2023-12-09,China Cba,09:00,Xinjiang,Shanxi Zhongyu,1.29,3.46,215.5,1.87,1.87,-9.5,1.99,1.72
IHfPD5mI,2023-12-09,China Wcba Feminina,08:30,Inner Mongolia F,Jiangsu Phoenix F,1.04,8.9,151.5,1.85,1.85,-17.5,2.02,1.7
vXrYBqIU,2023-12-09,China Wcba Feminina,08:30,Zhejiang Golden Bulls F,Shaanxi Tianze F,1.01,12.5,154.5,1.81,1.85,-20.5,1.98,1.74
0OQdppl8,2023-12-09,Chipre Divisão A,13:45,Apop Paphou,AEK,8.35,1.05,151.5,1.85,1.85,16.5,1.99,1.73
x44yQCG3,2023-12-09,Coreia Do Sul Kbl,02:00,Mobis Phoebus,Anyang JungKwanJang,1.72,2.11,162.5,1.87,1.79,-3.5,2.1,1.65
rs5XQh1c,2023-12-09,Coreia Do Sul Kbl,04:00,LG Sakers,Suwon KT,1.61,2.3,162.5,1.86,1.86,-4.5,2.09,1.66
lY0x0h9q,2023-12-09,Coreia Do Sul Wkbl Feminina,06:00,Samsung Blue Minx F,KB Stars F,5.65,1.13,133.5,1.87,1.87,11.5,1.95,1.76
KAQCcM4h,2023-12-09,Croácia Premijer Liga,14:00,Skrljevo,Dinamo Zagreb,3.02,1.35,162.5,1.86,1.8,5.5,2.0,1.72
b1PGdtKb,2023-12-09,Croácia Premijer Liga,15:00,Alkar,Dubrava,2.02,1.72,151.5,1.8,1.86,1.5,1.87,1.83
2ZV7b2kn,2023-12-09,Croácia Premijer Liga,15:00,Zabok,Dubrovnik,1.55,2.34,159.5,1.85,1.85,-4.5,1.98,1.74
OSQlwD4m,2023-12-09,Dinamarca Liga De Basquete,10:00,Bears Academy,Amager,1.17,4.73,159.5,1.82,1.84,-12.5,1.97,1.75
IkQhxXJg,2023-12-09,Dinamarca Liga De Basquete,11:00,Værløse,Næstved,6.69,1.09,172.5,1.8,1.86,13.5,2.06,1.68
dtPdyiZa,2023-12-09,Dinamarca Liga De Basquete,15:00,Copenhagen,Bakken Bears,14.0,1.01,170.5,1.87,1.85,16.5,2.0,1.7
86cy4709,2023-12-09,Dinamarca Kvindebasketligaen Feminina,11:00,BMS Herlev F,Aabyhoj F,2.76,1.41,127.5,1.85,1.85,4.5,2.05,1.69
6Tafl5LD,2023-12-09,Eslováquia Extraliga,13:15,Prievidza,Inter Bratislava,1.51,2.45,152.5,1.8,1.86,-5.5,2.04,1.69
2eZDuDHD,2023-12-09,Eslováquia Extraliga,14:00,Handlova,BC Komarno,1.7,2.05,170.5,1.85,1.85,-2.5,1.95,1.76
pKbbmPzK,2023-12-09,Eslováquia Extraliga,14:00,Iskra Svit,Levice,1.55,2.34,166.5,1.83,1.87,-4.5,2.03,1.67
Eg32nqjQ,2023-12-09,Eslováquia Extraliga,14:00,Spisski Rytieri,BKM Lucenec,1.18,4.46,173.5,1.87,1.79,-11.5,2.0,1.72
4zveg6L0,2023-12-09,Eslováquia Extraliga Feminina,14:00,CBK Kosice F,Ruzomberok F,14.5,25.0,139.5,1.86,1.84,41.5,2.06,1.68
88pneSjl,2023-12-09,Eslováquia Extraliga Feminina,14:00,Piestanske Cajky F,UMB Banska Bystrica F,1.65,2.05,139.5,1.81,1.89,-78.5,1.94,1.77
bDFXSXvb,2023-12-09,Eslovênia Liga Nova Kbm,09:00,LTH Castings,Rogaska,1.45,2.62,166.5,1.85,1.85,-6.5,2.09,1.66
AmJySif4,2023-12-09,Eslovênia Liga Nova Kbm,15:00,Ilirija,Sencur,1.71,2.03,159.5,1.84,1.86,-2.5,1.97,1.74
lM2wgWBm,2023-12-09,Eslovênia 1. Skl Feminino,11:30,Domel Skofja Loka F,Triglav F,18.0,1.01,133.5,1.85,1.85,23.5,2.0,1.72
joN2aYYJ,2023-12-09,Eslovênia 1. Skl Feminino,12:00,Maribor F,Cinkarna Celje F,13.5,24.0,157.5,1.85,1.85,41.5,2.0,1.72
UyM6bhlQ,2023-12-09,Eslovênia 1. Skl Feminino,12:30,Konjice F,ZKK Domzale F,2.37,1.54,125.5,1.85,1.85,2.5,2.04,1.69
zJbZgCds,2023-12-09,Eslovênia 1. Skl Feminino,14:00,Jezica F,Ilirija F,2.76,1.41,135.5,1.85,1.85,4.5,2.0,1.72
KdaLIwGR,2023-12-09,Espanha Leb Ouro,13:00,Oviedo,Hestia Menorca,1.29,3.37,144.5,1.87,1.79,-8.5,1.98,1.74
tnQDab9k,2023-12-09,Espanha Leb Ouro,14:30,San Pablo Burgos,Alicante,1.25,3.69,155.5,1.85,1.85,-11.5,2.1,1.67
M5omEcOr,2023-12-09,Espanha Leb Ouro,15:00,Estela,Caceres,1.42,2.72,158.5,1.8,1.86,-6.5,2.02,1.71
QZaHJJ0L,2023-12-09,Espanha Leb Ouro,15:00,Ourense,Melilla,1.4,2.8,150.5,1.87,1.79,-6.5,1.99,1.73
U1XECnT4,2023-12-09,Espanha Leb Plata,15:00,Juventud Alcala,Ponferrada,1.29,3.37,153.5,1.85,1.85,-8.5,1.98,1.74
zuYADSDb,2023-12-09,Espanha Leb Plata,15:30,Albacete,Zamora,2.17,1.64,144.5,1.83,1.87,1.5,2.05,1.68
Ea6EfGLF,2023-12-09,Espanha Liga Feminina,14:00,Estudiantes F,Cadi La Seu F,1.38,2.88,132.5,1.85,1.85,-7.5,2.09,1.66
S6nklEbq,2023-12-09,Espanha Liga Feminina,14:30,Gernika Bizkaia F,Perfumerias Avenida F,2.97,1.36,130.5,1.88,1.79,5.5,1.97,1.74
tAE1cIyc,2023-12-09,Espanha Liga Feminina,15:00,Araski F,Bembibre F,1.11,5.88,130.5,1.84,1.86,-13.5,1.97,1.74
nD4MhfjS,2023-12-09,Espanha Liga Feminina,15:00,Celta F,Uni Girona F,7.6,1.06,134.5,1.83,1.87,14.5,1.94,1.77
2P2Aed69,2023-12-09,Espanha Liga Feminina,15:00,Ferrol F,Ensino F,1.34,3.08,129.5,1.84,1.86,-7.5,1.96,1.75
zmMyNwUt,2023-12-09,Eua Ncaa,13:30,Georgetown,Syracuse,2.0,1.8,154.5,1.83,1.83,1.5,1.91,1.91
KzSanzPk,2023-12-09,Eua Ncaa,13:30,Mississippi St.,Tulane,1.34,3.23,148.5,1.83,1.83,-7.5,1.91,1.91
rLiErIfb,2023-12-09,Eua Ncaa,14:00,Butler,California,1.21,4.42,146.5,1.83,1.83,-8.5,1.91,0.0
vPh1guBN,2023-12-09,Eua Ncaa,14:00,East Carolina,South Carolina,2.61,1.51,140.5,1.91,1.91,5.5,1.91,1.91
IcCGcIIP,2023-12-09,Eua Ncaa,14:00,Kentucky,Pennsylvania,1.07,8.2,156.5,1.91,1.91,-14.5,2.0,1.73
t4DvJwc1,2023-12-09,Eua Ncaa,14:00,Minnesota,Florida Gulf Coast,1.21,4.42,140.5,1.83,1.83,-9.5,1.83,1.83
fk87v6aE,2023-12-09,Eua Ncaa,14:00,Tennessee,Illinois,1.41,2.87,145.5,1.91,1.91,-6.5,1.91,1.91
A7g6pvQo,2023-12-09,Eua Ncaa,14:00,UMass,UMass Lowell,1.73,2.1,148.5,1.8,1.91,-2.5,1.83,1.83
hIitg2qJ,2023-12-09,Eua Ncaa,14:00,Virginia Tech,Valparaiso,1.02,13.5,142.5,1.8,1.91,-20.5,1.73,0.0
WYVSKm1E,2023-12-09,Eua Ncaa,14:30,Dayton,Troy,1.07,8.2,139.5,1.91,1.91,-13.5,1.73,0.0
vkGh6H2N,2023-12-09,Eua Ncaa,15:00,UMBC Retrievers,Towson,2.47,1.55,145.5,1.83,1.83,4.5,1.91,1.91
ChH0HZcI,2023-12-09,Eua Ncaa,15:00,VMI,American,2.18,1.69,146.5,1.91,1.91,2.5,1.91,1.91
jJ0zXwOo,2023-12-09,Eua Ncaa,15:00,Western Michigan,Youngstown State,2.74,1.45,144.5,1.91,1.91,5.5,1.91,1.91
KM48dyjB,2023-12-09,Eua Ncaa,15:30,LSU,Kansas State,1.9,1.9,144.5,1.91,1.91,-2.5,1.91,1.91
vaVWJ7GK,2023-12-09,Eua Ncaa,15:30,Purdue,Alabama,1.45,2.74,160.5,1.8,1.91,-5.5,1.83,1.83
