Fixture ID,Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
8CMqCPgP,2023-12-29,Brasil Nbb,17:30,Paulistano,São José,1.47,2.56,150.5,1.86,1.84,-5.5,2.01,1.72
U1mxgpmm,2023-12-29,Brasil Nbb,19:00,Corinthians Paulista,Flamengo,3.25,1.31,159.5,1.85,1.85,6.5,2.04,1.69
CQxsh42g,2023-12-29,Brasil Nbb,19:00,Minas,União Corinthians,1.1,6.25,158.5,1.85,1.85,-15.5,1.99,1.73
KjtkjrX5,2023-12-29,Brasil Nbb,19:30,Fortaleza B.C.,Brasília,1.17,4.66,157.5,1.85,1.85,-12.5,2.09,1.66
jHyoiOHa,2023-12-29,Brasil Nbb,19:30,Pato,Caxias do Sul,1.46,2.59,150.5,1.85,1.85,-5.5,1.99,1.73
bsugk2nC,2023-12-29,Brasil Nbb,19:30,Unifacisa,Cerrado,1.34,3.08,156.5,1.86,1.84,-8.5,2.02,1.71
t6UclM1I,2023-12-29,Brasil Nbb,20:00,Pinheiros,Botafogo,1.29,3.37,160.5,1.85,1.81,-8.5,1.95,1.76
f9Y1mtHO,2023-12-29,Brasil Nbb,20:00,São Paulo,Mogi,1.2,4.27,156.5,1.87,1.79,-12.5,2.09,1.66
SMn6wdIn,2023-12-29,Espanha Acb,16:30,Manresa,Joventut,1.7,2.17,167.5,1.8,1.96,-3.5,2.0,1.75
pbc1vx3t,2023-12-29,Espanha Acb,16:30,Obradoiro CAB,Murcia,2.19,1.69,161.5,1.85,1.93,1.5,2.02,1.77
SQfiSMMl,2023-12-29,Eua Nba,00:00,Golden State Warriors,Miami Heat,1.45,3.08,229.5,1.8,2.08,-6.5,2.06,1.87
tUbeRtxe,2023-12-29,Eua Nba,00:00,Portland Trail Blazers,San Antonio Spurs,1.64,2.46,231.5,1.8,2.08,-4.5,2.04,1.88
Ohl0Q0i1,2023-12-29,Eua Nba,00:30,Los Angeles Lakers,Charlotte Hornets,1.14,7.34,224.5,1.8,2.08,-13.5,2.06,1.87
2qm4PK67,2023-12-29,Eua Nba,21:00,Orlando Magic,New York Knicks,1.89,2.06,225.5,1.8,2.0,-3.5,2.1,1.67
jatnl4q8,2023-12-29,Eua Nba,21:00,Washington Wizards,Brooklyn Nets,3.13,1.44,239.5,1.97,1.97,4.5,2.1,1.67
UkujmObE,2023-12-29,Eua Nba,21:30,Atlanta Hawks,Sacramento Kings,1.93,2.01,249.5,1.8,1.87,-2.5,2.0,1.71
CEUfnrEK,2023-12-29,Eua Nba,21:30,Cleveland Cavaliers,Milwaukee Bucks,2.82,1.51,238.5,1.97,1.97,3.5,2.1,1.67
OlYbo2TQ,2023-12-29,Eua Nba,22:00,Houston Rockets,Philadelphia 76ers,1.8,2.0,0.0,0.0,0.0,-3.5,2.06,1.71
tUKQtMyr,2023-12-29,Eua Nba,23:00,Denver Nuggets,Oklahoma City Thunder,1.68,2.38,0.0,0.0,0.0,-4.5,2.03,1.78
KKJUutil,2023-12-29,Eua Nba,23:00,Phoenix Suns,Charlotte Hornets,1.1,9.45,233.5,1.82,1.99,-16.5,2.09,1.74
rX3qk9p7,2023-12-29,Europa Euroliga,16:00,Alba Berlin,Olympiakos,3.37,1.34,157.5,1.91,1.91,5.5,2.1,1.67
Qe9vjkV0,2023-12-29,Europa Euroliga,17:00,Monaco,Barcelona,1.61,2.42,162.5,1.91,1.91,-4.5,2.0,1.71
OGECn6lt,2023-12-29,Itália Liga A,16:30,Varese,Reggiana,2.22,1.67,170.5,1.83,1.93,1.5,2.05,1.73
nFqGK3EA,2023-12-29,Alemanha Bbl,14:30,Wurzburg,Oldenburg,1.47,2.71,161.5,1.86,1.94,-6.5,2.07,1.72
0ImKJNTG,2023-12-29,Alemanha Bbl,16:00,Bonn,Bamberg,1.24,4.15,178.5,1.8,1.99,-10.5,2.06,1.71
rswPIsqN,2023-12-29,Alemanha Bbl,16:00,Syntainics MBC,Ulm,4.04,1.25,176.5,1.82,1.98,8.5,1.99,1.81
EyGRBrr7,2023-12-29,Alemanha Pro A,15:30,Bremerhaven,Frankfurt,2.91,1.37,166.5,1.85,1.85,5.5,2.01,1.72
0OhBdNu2,2023-12-29,Arábia Saudita Premier League,11:00,Al-Hilal,Al Ahli,1.07,7.17,167.5,1.85,1.85,-14.5,1.85,1.85
Agz2JpmF,2023-12-29,Arábia Saudita Premier League,11:30,Ohod,Al Khaleej,1.18,4.46,160.5,1.81,1.89,-10.5,1.85,1.85
ERtgL6I2,2023-12-29,Arábia Saudita Premier League,13:00,Al Nasr,Al Ittihad,1.58,2.29,168.5,1.8,1.88,-3.5,1.87,1.83
hIucKQX8,2023-12-29,Arábia Saudita Premier League,13:30,Al Wehda,Al Safa of Safwa,1.05,8.25,167.5,1.85,1.85,-16.5,1.85,1.85
r7Y9HOHR,2023-12-29,Arábia Saudita Premier League,13:30,Al-Fateh,Al Taawon,1.04,9.85,161.5,1.9,1.8,-25.5,1.85,1.85
ULkWs40P,2023-12-29,Austrália Nbl,05:30,Sydney Kings,Cairns Taipans,1.4,2.98,188.5,1.88,1.88,-6.5,2.01,1.72
bwgEiNV2,2023-12-29,Austrália Liga Feminina Wnbl,03:00,Sydney F,Townsville F,2.39,1.55,144.5,1.87,1.79,2.5,2.03,1.7
CpTRJ9Hh,2023-12-29,Áustria Superliga,15:00,UBSC Graz,Vienna Timberwolves,1.06,7.8,155.5,1.85,1.85,-16.5,2.06,1.68
jySVITWb,2023-12-29,Áustria Superliga,15:00,Vienna,St. Polten,1.15,5.03,165.5,1.88,1.79,-15.5,2.06,1.68
vcKrGRGH,2023-12-29,Áustria Superliga,15:15,Oberwart,Traiskirchen,2.09,1.69,150.5,1.86,1.84,1.5,1.94,1.77
tKPQSqVp,2023-12-29,Bulgária Nbl,13:00,Minyor,CSKA Sofia,6.74,1.08,164.5,1.81,1.85,13.5,1.94,1.77
YRRBjmNi,2023-12-29,Bulgária Nbl,13:00,Shumen,Rilski Sportist,3.98,1.22,162.5,1.86,1.84,8.5,2.01,1.71
vBwaXPMT,2023-12-29,Bulgária Nbl,13:00,Yambol,Academic Plovdiv,1.49,2.5,160.5,1.83,1.83,-5.5,2.03,1.7
dnlfY57N,2023-12-29,Bulgária Nbl,14:00,Cherno More,Balkan,3.02,1.35,163.5,1.86,1.84,5.5,2.0,1.72
fyT7iT7o,2023-12-29,Bulgária Nbl,14:00,Chernomorets,Spartak Pleven,1.29,3.37,162.5,1.87,1.79,-8.5,1.98,1.74
bVQS3Z97,2023-12-29,China Cba,08:35,Fujian,Liaoning,6.0,1.11,204.5,1.87,1.87,15.5,2.07,1.67
