Fixture ID,Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
UJfVkMMj,2024-02-06,Brasil Nbb,19:30,Unifacisa,Fortaleza B.C.,1.36,2.97,162.5,1.85,1.85,-8.5,2.09,1.63
6yvEE5ai,2024-02-06,Brasil Nbb,20:00,Botafogo,Flamengo,7.06,1.08,161.5,1.82,1.88,13.5,2.03,1.67
pSxIDPEc,2024-02-06,Brasil Nbb,20:00,Corinthians Paulista,Bauru,1.7,2.07,157.5,1.82,1.88,-3.5,2.0,1.69
8xCgM774,2024-02-06,Eua Nba,21:00,Indiana Pacers,Houston Rockets,1.39,2.69,239.5,1.97,1.97,-5.5,1.83,1.83
G2F1KoxH,2024-02-06,Eua Nba,21:30,Miami Heat,Orlando Magic,1.54,2.26,211.5,1.8,2.02,-4.5,2.08,1.75
bR46J5iN,2024-02-06,Eua Nba,21:30,New York Knicks,Memphis Grizzlies,1.08,6.08,214.5,1.81,1.99,-14.5,2.04,1.78
xI3AIP6T,2024-02-06,Eua Nba,22:00,Chicago Bulls,Minnesota Timberwolves,2.55,1.43,214.5,1.97,1.97,3.5,1.83,1.83
U9exEqFp,2024-02-06,Eua Nba,23:00,Utah Jazz,Oklahoma City Thunder,1.98,1.71,242.5,1.83,1.98,1.5,2.09,1.69
hIiEfJYH,2024-02-06,Europa Eurocopa,15:30,Hamburg,Venezia,2.72,1.42,173.5,1.85,1.85,3.5,2.09,1.63
WY5dIyqF,2024-02-06,Europa Eurocopa,15:30,JL Bourg,Ulm,1.42,2.72,168.5,1.87,1.79,-6.5,2.02,1.71
bVA2dfMe,2024-02-06,Europa Eurocopa,16:00,Slask Wroclaw,Turk Telekom,3.02,1.35,160.5,1.86,1.8,5.5,2.0,1.72
Spqr9cMG,2024-02-06,Argentina Liga A,20:00,Gimnasia,Riachuelo,1.41,2.76,161.5,1.85,1.85,-6.5,2.01,1.72
dWyFZWWR,2024-02-06,Bósnia E Herzegovina Prvenstvo Bih,16:00,Posusje,Borac Banja Luka,4.42,1.18,144.5,1.84,1.86,9.5,2.04,1.7
dQzCwo3g,2024-02-06,Coreia Do Sul Kbl,07:00,KoGas,Seoul Thunders,1.29,3.55,164.5,1.8,1.92,-9.5,2.02,1.69
E1o7vRmm,2024-02-06,Coreia Do Sul Kbl,07:00,LG Sakers,Wonju DB,2.62,1.48,166.5,1.8,1.94,3.5,2.02,1.72
4p962VRo,2024-02-06,Eslovênia Liga Nova Kbm,14:00,Hopsi Polzela,Sencur,2.97,1.36,161.5,1.82,1.88,4.5,2.07,1.64
pKGvIAbc,2024-02-06,Eua Ncaa,00:00,Portland State,East. Washington,2.79,1.47,151.5,1.8,1.95,3.5,2.1,1.67
4rOKHQYN,2024-02-06,Eua Ncaa,20:30,Maryland,Rutgers,1.3,3.47,125.5,1.83,1.83,-1.5,1.31,0.0
CxRqjFa2,2024-02-06,Eua Ncaa,20:30,South Carolina,Ole Miss,1.55,2.47,137.5,1.8,1.91,4.5,1.27,0.0
tEWk3FBG,2024-02-06,Eua Ncaa,20:30,St. Johns,Depaul,1.02,14.5,146.5,1.8,1.91,-14.5,1.28,0.0
vL4aA5eK,2024-02-06,Eua Ncaa,21:00,Akron,Central Michigan,1.06,8.75,133.5,1.83,1.83,-14.5,1.83,1.83
0U5eBotE,2024-02-06,Eua Ncaa,21:00,Ball State,Ohio,2.0,1.8,147.5,1.8,1.91,1.5,1.83,1.83
jHP549m8,2024-02-06,Eua Ncaa,21:00,Boston College,Florida State,1.64,2.23,151.5,1.83,1.83,5.5,1.29,0.0
A3eV4qJs,2024-02-06,Eua Ncaa,21:00,Bowling Green,Buffalo,1.1,7.2,148.5,1.83,1.83,-13.5,1.83,1.83
hSpz43Ym,2024-02-06,Eua Ncaa,21:00,Eastern Michigan,Toledo,4.42,1.21,147.5,1.83,1.83,12.5,1.65,0.0
t8TWxYUm,2024-02-06,Eua Ncaa,21:00,Fordham,VCU Rams,2.35,1.59,139.5,1.8,1.91,6.5,1.65,0.0
QsO1rf7Q,2024-02-06,Eua Ncaa,21:00,George Washington,Rhode Island,1.51,2.61,155.5,1.83,1.83,-2.5,1.65,0.0
z9sJt6e1,2024-02-06,Eua Ncaa,21:00,Georgia Tech,Wake Forest,2.35,1.59,151.5,1.91,1.8,11.5,1.25,0.0
SWFvVQtq,2024-02-06,Eua Ncaa,21:00,Houston,Oklahoma State,1.02,14.5,128.5,1.8,1.91,-20.5,1.83,1.83
Ys439PAQ,2024-02-06,Eua Ncaa,21:00,Kent State,Western Michigan,1.18,4.89,148.5,1.83,1.83,-10.5,1.83,1.83
OCMCn23D,2024-02-06,Eua Ncaa,21:00,Miami (Ohio),Northern Illinois,1.45,2.74,147.5,1.8,1.91,-5.5,1.83,1.83
SW9prcGG,2024-02-06,Eua Ncaa,21:00,Niagara,Canisius,1.59,2.35,148.5,1.83,1.83,-1.5,1.62,0.0
lCoNuQA7,2024-02-06,Eua Ncaa,21:00,North Carolina,Clemson,1.3,3.47,153.5,1.8,1.91,-8.5,1.91,1.8
IoSOGplU,2024-02-06,Eua Ncaa,21:00,Ohio State,Indiana,1.41,2.87,144.5,1.8,1.91,2.5,1.31,0.0
GbPOGHWR,2024-02-06,Eua Ncaa,22:00,AR Little Rock,Tenn. Martin,1.73,2.1,160.5,1.8,1.91,-2.5,1.83,1.83
6NErUpdk,2024-02-06,Eua Ncaa,22:00,Oklahoma,Brigham Young,1.91,1.83,150.5,1.83,1.83,8.5,1.26,0.0
noUSwEFs,2024-02-06,Eua Ncaa,22:00,Saint Josephs,Dayton,2.1,1.73,144.5,1.8,1.91,1.5,1.83,1.83
ln4mT4Be,2024-02-06,Eua Ncaa,22:00,Texas,Iowa State,1.73,2.1,141.5,1.83,1.83,6.5,1.26,0.0
SASo4edA,2024-02-06,Eua Ncaa,22:30,UConn,Butler,1.06,8.75,147.5,1.8,1.91,-16.5,1.91,1.8
8403sNe2,2024-02-06,Eua Ncaa,22:30,Vanderbilt,Kentucky,3.72,1.26,151.5,1.8,1.91,8.5,1.83,1.83
2k8iSOQ1,2024-02-06,Eua Ncaa,23:00,Baylor,Texas Tech,1.41,2.87,145.5,1.8,1.91,2.5,1.26,0.0
bVKAtmT1,2024-02-06,Eua Ncaa,23:00,Colorado State,Boise State,1.41,2.87,140.5,1.83,1.83,-5.5,1.83,1.83
MJYFI6JH,2024-02-06,Eua Ncaa,23:00,Minnesota,Michigan State,2.23,1.64,137.5,1.8,1.91,3.5,1.83,1.83
WOYL3xKq,2024-02-06,Eua Ncaa,23:00,South Florida,Charlotte,1.73,2.1,134.5,1.8,1.91,1.5,1.62,0.0
2PnfXiBC,2024-02-06,Eua Ncaa,23:00,Utah State,Nevada,1.45,2.74,150.5,1.83,1.83,-5.5,1.83,1.83
nZ3OQaGo,2024-02-06,Europa Liga Dos Campeões,14:30,AEK Athens,Murcia,2.32,1.6,162.5,1.82,1.9,1.5,2.1,1.67
