Fixture ID,Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
pU7OgVNO,2024-01-23,Brasil Nbb,20:00,Flamengo,Caxias do Sul,1.09,6.41,156.5,1.84,1.86,-15.5,2.06,1.68
bXe6IE0P,2024-01-23,Brasil Nbb,20:00,São Paulo,Paulistano,2.09,1.69,153.5,1.84,1.86,1.5,1.94,1.77
rcmRJaTF,2024-01-23,Eua Nba,00:00,Sacramento Kings,Atlanta Hawks,1.33,3.77,236.5,1.83,2.05,-8.5,2.06,1.87
xKnVIJrM,2024-01-23,Eua Nba,21:00,Indiana Pacers,Denver Nuggets,2.37,1.68,240.5,1.89,2.03,2.5,2.02,1.9
GAoZHwbS,2024-01-23,Eua Nba,21:30,Brooklyn Nets,New York Knicks,2.56,1.6,223.5,1.81,2.0,2.5,2.1,1.74
d4T1Dc6q,2024-01-23,Eua Nba,22:00,New Orleans Pelicans,Utah Jazz,1.4,3.35,238.5,1.86,1.94,-7.5,2.03,1.79
zeS5CHLk,2024-01-23,Eua Nba,22:00,Oklahoma City Thunder,Portland Trail Blazers,1.11,8.7,235.5,1.82,1.99,-15.5,2.08,1.75
v5CE7KUd,2024-01-23,Europa Eurocopa,14:00,Cluj-Napoca,Trento,1.37,2.93,165.5,1.83,1.85,-8.5,2.1,1.65
IeBI6vp3,2024-01-23,Europa Eurocopa,15:00,Buducnost,Ulm,1.69,2.08,167.5,1.86,1.84,-3.5,2.08,1.67
0dvMHkzE,2024-01-23,Europa Eurocopa,16:30,Paris,Joventut,1.23,3.86,174.5,1.85,1.83,-10.5,2.1,1.65
EaK0MMEN,2024-01-23,Argentina Liga A,22:00,Penarol,Union De Santa Fe,1.3,3.31,160.5,1.8,1.86,-8.5,2.01,1.72
8CfJr0uA,2024-01-23,Bahrein Premier League,13:30,Al-Hala,Al Ittihad,2.59,1.46,178.5,1.83,1.87,1.5,2.07,1.67
nRLAtoqJ,2024-01-23,Bósnia E Herzegovina Prvenstvo Bih,16:00,Posusje,Leotar Trebinje,2.15,1.65,157.5,1.86,1.84,1.5,2.07,1.68
2qmG6Iz7,2024-01-23,Catar Liga De Basquete Do Catar,12:00,Al Arabi,Al Ahli,2.02,1.72,152.5,1.85,1.85,1.5,1.87,1.83
W80ptiZc,2024-01-23,China Cba,08:35,Jilin,Guangdong,3.21,1.33,210.5,1.8,1.9,6.5,1.94,1.76
tK7VD0O1,2024-01-23,Coreia Do Sul Kbl,07:00,Goyang Sono,Seoul Thunders,1.45,2.72,159.5,1.88,1.86,-6.5,2.02,1.71
nc8REt9e,2024-01-23,Coreia Do Sul Kbl,07:00,Wonju DB,Mobis Phoebus,1.24,4.01,173.5,1.8,1.86,-10.5,2.04,1.7
tEGR6xef,2024-01-23,Eua Ncaa,20:30,Georgetown,Butler,2.47,1.58,151.5,1.91,1.91,3.5,1.83,1.83
27BDGpIG,2024-01-23,Eua Ncaa,20:30,La Salle,Dayton,4.67,1.21,142.5,1.91,1.91,7.5,2.1,1.67
jRnFsGLG,2024-01-23,Eua Ncaa,21:00,Akron,Ohio,1.29,3.76,144.5,1.91,1.91,-8.5,2.0,1.71
4YSkyEbp,2024-01-23,Eua Ncaa,21:00,Bowling Green,Kent State,1.8,2.05,151.5,1.8,1.95,-2.5,2.0,1.71
2JogzYDj,2024-01-23,Eua Ncaa,21:00,Buffalo,Ball State,2.1,1.77,142.5,1.8,1.95,1.5,1.95,1.74
ngtOufjT,2024-01-23,Eua Ncaa,21:00,Central Michigan,Miami (Ohio),1.8,2.05,141.5,1.8,1.95,-2.5,2.0,1.71
x0IMFNes,2024-01-23,Eua Ncaa,21:00,Charlotte,UAB,1.49,2.74,139.5,1.91,1.91,-6.5,2.1,1.67
drQGF4XM,2024-01-23,Eua Ncaa,21:00,Duquesne,St. Bonaventure,1.63,2.38,142.5,1.91,1.91,-4.5,2.0,1.71
A5SAfD2n,2024-01-23,Eua Ncaa,21:00,Georgia Tech,Pittsburgh,2.28,1.67,144.5,1.91,1.91,1.5,2.1,1.67
WET6egmt,2024-01-23,Eua Ncaa,21:00,Louisville,Duke,10.5,1.06,152.5,1.8,1.95,12.5,2.1,1.67
Yi74xMbF,2024-01-23,Eua Ncaa,21:00,Minnesota,Wisconsin,2.64,1.51,142.5,1.8,1.95,3.5,2.1,1.67
AHUXKgTs,2024-01-23,Eua Ncaa,21:00,Nebraska,Ohio State,1.73,2.18,149.5,1.91,1.91,-3.5,2.0,1.71
WnFdWJFr,2024-01-23,Eua Ncaa,21:00,Oklahoma,Texas,1.63,2.38,145.5,1.8,1.95,-4.5,2.0,1.71
6s5jTWzh,2024-01-23,Eua Ncaa,21:00,South Carolina,Kentucky,2.56,1.55,155.5,1.8,1.95,3.5,2.0,1.71
StNFgXHh,2024-01-23,Eua Ncaa,21:00,Syracuse,Florida State,1.58,2.47,149.5,1.8,1.95,-5.5,2.05,1.71
Q9E0VwVl,2024-01-23,Eua Ncaa,21:00,UCF Knights,West Virginia,1.25,4.19,138.5,1.91,1.91,-9.5,2.1,1.67
zZOKEOnT,2024-01-23,Eua Ncaa,21:00,UMass,Saint Josephs,1.77,2.1,153.5,1.8,1.95,-3.5,2.05,1.71
tG1mArep,2024-01-23,Eua Ncaa,21:00,VCU Rams,Loyola (Ill).,1.49,2.74,137.5,1.91,1.91,-6.5,2.1,1.67
82sKtzyN,2024-01-23,Eua Ncaa,21:00,Western Michigan,Eastern Michigan,1.4,3.08,147.5,1.87,1.95,-7.5,2.1,1.67
d03j88Ib,2024-01-23,Eua Ncaa,22:00,Illinois State,Belmont,1.8,2.05,144.5,1.91,1.91,-2.5,2.0,1.71
I94n9l3h,2024-01-23,Eua Ncaa,22:00,Northern Iowa,Evansville,1.08,8.8,141.5,1.8,1.95,-14.5,2.1,1.67
4OPyaHji,2024-01-23,Eua Ncaa,22:00,Northern Illinois,Toledo,2.56,1.55,159.5,1.91,1.91,3.5,2.0,1.71
zyGV5dA0,2024-01-23,Eua Ncaa,22:30,Creighton,Xavier,1.25,4.19,147.5,1.91,1.91,-9.5,2.1,1.67
My89THa1,2024-01-23,Eua Ncaa,23:00,Brigham Young,Houston,2.18,1.73,135.5,1.91,1.91,1.5,2.0,1.69
0S6DSyF7,2024-01-23,Eua Ncaa,23:00,Oklahoma State,TCU,2.56,1.55,144.5,1.8,1.95,3.5,2.0,1.71
2XM8C06k,2024-01-23,Eua Ncaa,23:00,Portland,San Diego Toreros,1.55,2.56,158.5,1.91,1.91,-5.5,2.0,1.71
htKxKDrl,2024-01-23,Eua Ncaa,23:00,Purdue,Michigan,1.03,17.0,152.5,1.91,1.91,-18.5,2.0,1.71
UqtXiBJI,2024-01-23,Eua Ncaa,23:00,San Diego State,Wyoming,1.03,16.0,144.5,1.91,1.91,-18.5,2.05,1.71
Sj6nUCLo,2024-01-23,Eua Ncaa,23:00,Texas A&M,Missouri,1.13,6.6,143.5,1.91,1.91,-12.5,2.1,1.67
6XLJhiXb,2024-01-23,Eua Ncaa,23:00,Virginia Tech,Boston College,1.49,2.74,149.5,1.91,1.91,-6.5,2.05,1.71
GCGrZzIB,2024-01-23,Europa Liga Dos Campeões,14:30,Pinar Karsiyaka,Tenerife,1.77,2.02,162.5,1.89,1.89,-2.5,2.0,1.75
Qo6SkrF7,2024-01-23,Europa Liga Dos Campeões,14:30,Promitheas,AEK Athens,1.48,2.62,163.5,1.81,1.91,-6.5,2.03,1.68
r3EBgQFr,2024-01-23,Europa Liga Dos Campeões,16:00,Bonn,Galatasaray,1.55,2.43,164.5,1.88,1.9,-5.5,2.06,1.69
YodYXVhP,2024-01-23,Europa Liga Dos Campeões,16:00,Dijon,Ludwigsburg,1.45,2.72,160.5,1.83,1.91,-6.5,2.0,1.75
IiFkv7Fb,2024-01-23,Europa Liga Dos Campeões,16:30,Murcia,Hapoel Holon,1.22,4.24,158.5,1.86,1.88,-10.5,2.02,1.7
f1zaYKb1,2024-01-23,Europa Copa Europeia Da Fiba,17:00,FC Porto,Balkan,1.06,8.2,157.5,1.87,1.87,-17.5,2.09,1.63
xAH3wJsc,2024-01-23,Europa Copa Alpe Adria,14:00,Dabrowa Gornicza,Kapfenberg,1.09,6.57,177.5,1.87,1.83,-12.5,1.45,0.0
pljj1jXo,2024-01-23,Europa Enbl,16:30,Newcastle Eagles,Liege,2.62,1.45,168.5,1.8,1.86,3.5,2.1,1.66
65cmlvan,2024-01-23,Europa Wbbl Feminina,13:30,LCC F,TTT Riga F,5.24,1.14,142.5,1.85,1.85,12.5,1.87,1.83
EPc0JeiB,2024-01-23,Geórgia Copa Da Geórgia,13:00,Mega Tbilisi,Rustavi,2.09,1.69,182.5,1.83,1.83,2.5,1.83,1.83
QmHTHsmm,2024-01-23,Irã Superliga,09:30,Tabiat,Padafan Raad,1.01,13.1,155.5,1.85,1.85,-27.5,2.0,1.69
Q5Yremda,2024-01-23,Islândia Premier League Feminina,15:15,Thor AK Akureyri F,Grindavik F,2.56,1.47,151.5,1.85,1.85,4.5,1.87,1.83
