Fixture ID,Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
Gx4ZzgOs,2024-06-06,Brasil Nbb,19:00,Franca,Flamengo,1.76,1.97,157.5,1.87,1.79,-2.5,2.02,2.38
pQ5YlM9O,2024-06-06,Brasil Cbb,17:00,Cruzeiro,Blumenau/APAB,1.22,3.98,140.5,1.85,1.85,0.0,0.0,0.0
vDzYjruC,2024-06-06,Brasil Cbb,19:30,Osasco,Santos Fupes,1.61,2.22,143.5,1.88,1.79,0.0,0.0,0.0
UoTVMa4s,2024-06-06,Eua Nba,21:30,Boston Celtics,Dallas Mavericks,1.42,3.02,213.5,1.81,2.04,0.0,0.0,0.0
KG3Lbg9C,2024-06-06,Itália Liga A,15:30,Virtus Bologna,Milano,1.67,2.22,159.5,1.87,1.91,-3.5,2.0,2.75
SpJQK4ZP,2024-06-06,Alemanha Bbl,13:30,Alba Berlin,Chemnitz,1.36,3.19,163.5,1.8,1.99,0.0,0.0,0.0
noA0Yzto,2024-06-06,Austrália Nbl1 Sul,07:00,Melbourne Tigers,Casey Cavaliers,1.7,2.07,157.5,1.81,1.85,-2.5,1.95,2.48
ljlqcKIo,2024-06-06,Austrália Nbl1 Sul,07:00,Sandringham Sabres,Ringwood,1.03,9.55,167.5,1.85,1.85,0.0,0.0,0.0
8URTlZbP,2024-06-06,Austrália Nbl1 Sul,05:00,Melbourne Tigers F,Casey Cavaliers F,1.19,4.37,160.5,1.85,1.83,0.0,0.0,0.0
pjJepg7t,2024-06-06,Austrália Nbl1 Sul,05:00,Sandringham F,Ringwood F,1.18,4.51,152.5,1.83,1.87,0.0,0.0,0.0
MiULzBXG,2024-06-06,Colômbia Lbp,21:30,Bucaros,Cimarrones del Choco,1.33,3.12,159.5,1.86,1.8,0.0,0.0,0.0
MLVwc3pP,2024-06-06,Eua Wnba,20:00,Washington Mystics F,Chicago Sky F,2.78,1.45,155.5,1.83,1.95,4.5,1.95,1.25
bsN5hNht,2024-06-06,Eua Wnba,20:30,Atlanta Dream F,New York Liberty F,3.27,1.35,164.5,1.88,1.88,0.0,0.0,0.0
jZxLuhgC,2024-06-06,França Lnb,13:30,Monaco,Paris,1.37,3.12,165.5,1.85,1.93,-7.5,1.99,7.0
n5SXHM8s,2024-06-06,França Pro B,15:45,Boulazac,La Rochelle,1.5,2.47,138.5,1.87,1.79,0.0,0.0,0.0
jJU9dNfe,2024-06-06,Grécia Liga De Basquete,15:15,Peristeri,Aris,1.28,3.75,153.5,1.88,1.78,0.0,0.0,0.0
MgyYFNbU,2024-06-06,Israel Superliga,15:00,Hapoel Tel-Aviv,Ironi Kiryat Ata,1.11,6.35,168.5,1.9,1.88,0.0,0.0,0.0
pn1qbvNs,2024-06-06,Itália Série A2,16:00,Cantu,Trieste,1.47,2.56,151.5,1.88,1.79,0.0,0.0,0.0
0vLnFCMs,2024-06-06,Lituânia Lkl,12:50,Lietkabelis,BC Wolves,1.55,2.39,169.5,1.8,1.86,0.0,0.0,0.0
vaTSSqsg,2024-06-06,México Cibacopa,00:15,Rayos de Hermosillo,Halcones de Obregon,1.38,2.88,180.5,1.86,1.84,0.0,0.0,0.0
zwk7n07I,2024-06-06,Nova Zelândia Nbl,04:30,Southland Sharks,Bay Hawks,2.93,1.37,182.5,1.87,1.79,0.0,0.0,0.0
zV2BAS9N,2024-06-06,Paraguai Lnb,20:30,Colonias Gold,Olimpia,2.68,1.43,151.5,1.83,1.85,0.0,0.0,0.0
2H43CluB,2024-06-06,Paraguai Lnb,20:30,Dep. San Jose,Felix Perez Cardozo,1.08,6.9,152.5,1.88,1.79,0.0,0.0,0.0
W0nSklNh,2024-06-06,Turquia Superliga,14:30,Anadolu Efes,Fenerbahce,1.79,1.96,167.5,1.85,1.87,-2.5,2.03,2.23
88KlkzV8,2024-06-06,Uruguai Liga Uruguaia,21:15,Aguada,Penarol,1.49,2.5,161.5,1.85,1.81,0.0,0.0,0.0
2crzuBVO,2024-06-06,Venezuela Superliga,20:00,Centauros,Guaiqueries,1.97,1.76,150.5,1.85,1.85,-1.5,1.85,1.88
trfRtX0C,2024-06-06,Venezuela Superliga,20:00,Llaneros,Pioneros,1.97,1.76,159.5,1.84,1.86,0.0,0.0,0.0
hMNqaEGt,2024-06-06,Venezuela Superliga,20:00,Marinos,Piratas de La Guaira,1.31,3.25,153.5,1.85,1.83,0.0,0.0,0.0
