Fixture ID,Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
tIG3yvhA,2024-09-28,Espanha Acb,13:00,Joventut,Murcia,1.64,2.28,161.5,1.85,1.89,-3.5,1.97,1.78
lrKBZHMM,2024-09-28,Espanha Acb,13:00,Unicaja,Basquet Girona,1.11,6.95,161.5,1.81,1.93,-14.5,2.04,1.72
6a0rUepp,2024-09-28,Espanha Acb,15:45,Manresa,Valencia,2.58,1.51,170.5,1.83,1.91,3.5,2.0,1.79
QwjC0zJG,2024-09-28,Espanha Acb,15:45,MoraBanc Andorra,Gran Canaria,1.82,1.99,165.5,1.9,1.88,-1.5,1.95,1.83
Ya3ZjZlJ,2024-09-28,Itália Liga A,14:30,Reggiana,Trento,1.44,2.81,163.5,1.87,1.91,-6.5,1.99,1.76
GnuMs1yP,2024-09-28,Itália Liga A,15:00,Trapani,Virtus Bologna,3.75,1.28,163.5,1.85,1.93,7.5,1.98,1.77
ARgRhRqQ,2024-09-28,Itália Liga A,16:00,Sassari,Scafati,1.34,3.33,160.5,1.89,1.89,-8.5,1.99,1.69
UFEp8OhM,2024-09-28,Alemanha Bbl,13:30,Alba Berlin,Oldenburg,1.29,3.66,168.5,1.85,1.93,-9.5,2.05,1.65
YmLyApO9,2024-09-28,Alemanha Bbl,13:30,Ulm,Wurzburg,1.43,2.86,164.5,1.81,1.93,-5.5,1.98,1.82
MDgP0tod,2024-09-28,Alemanha Bbl,15:00,Bonn,Syntainics MBC,1.19,4.77,164.5,1.89,1.89,-11.5,2.02,1.74
0b5G22Gq,2024-09-28,Alemanha Bbl,15:00,Rostock,Gottingen,1.28,3.75,164.5,1.83,1.95,-9.5,2.02,1.7
4pVc4nCa,2024-09-28,Alemanha Pro A,12:00,Vechta 2,Trier,9.7,1.01,163.5,1.83,1.83,10.5,2.03,1.67
0CO62QtC,2024-09-28,Alemanha Pro A,14:00,Bochum,G. Dusseldorf,1.35,2.86,165.5,1.83,1.83,-7.5,2.05,1.65
8xSE04BO,2024-09-28,Alemanha Pro A,14:00,Phoenix Hagen,Kirchheim,1.46,2.47,162.5,1.83,1.83,-5.5,1.98,1.7
fZqtHPe5,2024-09-28,Alemanha Pro A,14:30,Artland,Bayreuth,1.56,2.21,166.5,1.83,1.83,-4.5,1.99,1.7
CjhPK7dt,2024-09-28,Alemanha Pro A,14:30,Tubingen,Munster,1.34,2.87,160.5,1.84,1.82,-7.5,2.01,1.68
SnrlF3QH,2024-09-28,Alemanha Pro A,15:00,Crailsheim Merlins,Nurnberger,1.08,5.91,166.5,1.83,1.83,-13.5,1.98,1.7
h84ok7hn,2024-09-28,Alemanha Dbbl Feminina,13:30,TK Hannover F,Marburg F,1.03,8.3,136.5,1.81,1.85,-17.5,1.96,1.72
216JlDBF,2024-09-28,Austrália Nbl,04:30,Cairns Taipans,Adelaide 36ers,2.78,1.45,177.5,1.87,1.79,4.5,1.97,1.74
YRXt3vso,2024-09-28,Ásia Wbl Asia Women,08:00,Sichuan F,Fujitsu F,1.13,4.77,147.5,1.83,1.83,-13.5,1.83,1.83
jswOfZr3,2024-09-28,Áustria Superliga,14:00,Traiskirchen,Kapfenberg,1.7,1.98,150.5,1.82,1.84,-2.5,1.95,1.73
A92ktzU9,2024-09-28,Áustria Supercopa Da Abl,10:30,Oberwart,Wels,1.22,3.64,151.5,1.83,1.83,-8.5,1.96,1.72
4t33UBDN,2024-09-28,Bulgária Supercopa,13:00,Rilski Sportist,Spartak Pleven,1.08,5.91,163.5,1.83,1.83,-14.5,1.95,1.72
IXGU8AxB,2024-09-28,Croácia Premijer Liga,13:00,Zadar,Alkar,1.02,12.5,155.5,1.88,1.78,-23.5,2.01,1.68
bkiDHAp2,2024-09-28,Croácia Premijer Liga,14:00,Cedevita,Osijek,1.09,5.61,159.5,1.84,1.82,-13.5,2.01,1.68
lhPDChwn,2024-09-28,Croácia Premijer Liga,15:00,Dubrovnik,Cibona,3.26,1.27,154.5,1.83,1.83,6.5,1.95,1.72
QLzPbqoo,2024-09-28,Eslováquia Extraliga,12:00,Inter Bratislava,Nitra,1.04,7.85,159.5,1.88,1.78,-17.5,2.05,1.65
KvKRI4xH,2024-09-28,Eslováquia Extraliga,13:00,Handlova,BC Komarno,1.36,2.81,155.5,1.81,1.85,-7.5,1.94,1.74
tf8zHr7T,2024-09-28,Eslováquia Extraliga,13:00,Iskra Svit,BKM Lucenec,1.21,3.74,160.5,1.83,1.83,-10.5,1.98,1.7
IFNAMnwh,2024-09-28,Eslováquia Extraliga,13:00,Spisski Rytieri,Nitra Blue Wings,1.38,2.72,163.5,1.83,1.83,-7.5,2.05,1.65
zsgPaHYH,2024-09-28,Eslovênia Liga Otp Banka,08:00,KK Triglav Kranj,Tajfun Sentjur,1.83,1.88,151.5,1.82,1.88,-2.5,2.05,1.65
jHk01U9M,2024-09-28,Eslovênia Liga Otp Banka,14:00,Lasko,LTH Castings,2.21,1.56,161.5,1.83,1.83,2.5,1.95,1.72
WKxqYbgc,2024-09-28,Espanha Primera Feb,12:00,Moron,Fuenlabrada,5.18,1.11,158.5,1.88,1.78,11.5,1.96,1.71
j9o6Qnzi,2024-09-28,Espanha Primera Feb,14:00,Ourense,Cartagena,1.28,3.21,156.5,1.83,1.83,-8.5,1.95,1.72
p8thJVSN,2024-09-28,Espanha Primera Feb,14:30,Hestia Menorca,Zamora,1.17,4.23,156.5,1.86,1.8,-13.5,1.95,1.72
CfrpLibB,2024-09-28,Espanha Primera Feb,15:00,Alicante,Real Valladolid,1.6,2.14,154.5,1.88,1.78,-4.5,2.03,1.67
4hNOD9jo,2024-09-28,Espanha Primera Feb,15:00,San Pablo Burgos,Estela,1.06,6.57,162.5,1.83,1.83,-15.5,1.95,1.72
bB6RXUsH,2024-09-28,Espanha Primera Feb,15:45,Gipuzkoa,Real Bétis,2.44,1.46,158.5,1.86,1.8,2.5,2.05,1.65
dQz1fzYB,2024-09-28,Espanha Supercopa Feminina,11:30,Perfumerias Avenida F,Zaragoza F,1.32,3.27,133.5,1.86,1.87,-8.5,1.98,1.71
IuP9hE2O,2024-09-28,Espanha Supercopa Feminina,14:30,Valencia F,Jairis F,1.39,2.89,130.5,1.87,1.87,-7.5,2.01,1.66
Is2i7D5S,2024-09-28,Europa Liga Aba,15:00,Buducnost,Split,1.04,7.5,158.5,1.83,1.83,-16.5,1.98,1.7
f1bCXITb,2024-09-28,Europa Liga Bnxt,14:30,Groningen,Kortrijk,1.7,1.98,160.5,1.82,1.84,-2.5,1.95,1.73
