Unnamed: 0,Date,League,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
,2020-12-11,Eua Nba,21:00,Detroit Pistons,New York Knicks,84.0,90.0,1.8,2.05,216.5,1.9,1.9,-3.5,1.9,1.9
,2020-12-11,Eua Nba,21:00,Atlanta Hawks,Orlando Magic,112.0,116.0,1.38,3.15,223.5,1.9,1.9,-7.5,1.9,1.9
,2020-12-11,Eua Nba,22:00,Chicago Bulls,Houston Rockets,104.0,125.0,1.6,2.45,219.5,1.9,1.9,-3.5,1.86,1.95
,2020-12-12,Eua Nba,00:00,Los Angeles Lakers,Los Angeles Clippers,87.0,81.0,3.1,1.4,219.5,1.9,1.9,3.5,1.9,1.9
,2020-12-12,Eua Nba,22:30,Golden State Warriors,Denver Nuggets,107.0,105.0,2.45,1.6,222.5,1.9,1.9,2.5,1.95,1.86
,2020-12-12,Eua Nba,22:00,Milwaukee Bucks,Dallas Mavericks,102.0,112.0,1.54,2.65,225.5,1.9,1.9,-4.5,1.9,1.9
,2020-12-12,Eua Nba,22:00,Minnesota Timberwolves,Memphis Grizzlies,105.0,107.0,1.76,2.1,223.5,1.9,1.9,-1.5,1.9,1.9
,2020-12-12,Eua Nba,23:00,Utah Jazz,Phoenix Suns,119.0,105.0,1.95,1.86,221.5,1.9,1.9,-2.5,1.95,1.86
,2020-12-12,Eua Nba,21:00,Cleveland Cavaliers,Indiana Pacers,107.0,104.0,2.67,1.52,214.5,1.9,1.9,4.5,1.9,1.9
,2020-12-12,Eua Nba,21:00,San Antonio Spurs,Oklahoma City Thunder,108.0,121.0,1.45,2.8,219.5,1.9,1.9,-6.5,1.9,1.9
,2020-12-12,Eua Nba,00:30,Portland Trail Blazers,Sacramento Kings,127.0,102.0,1.47,2.75,225.5,1.9,1.9,-6.5,1.9,1.9
,2020-12-12,Eua Nba,21:00,Charlotte Hornets,Toronto Raptors,100.0,111.0,2.75,1.47,219.5,1.9,1.9,4.5,1.9,1.9
,2020-12-13,Eua Nba,19:00,Atlanta Hawks,Orlando Magic,116.0,107.0,1.5,2.7,224.5,1.9,1.9,-4.5,1.9,1.9
,2020-12-13,Eua Nba,20:00,Brooklyn Nets,Washington Wizards,119.0,114.0,1.37,3.2,225.5,1.9,1.9,-7.5,1.9,1.9
,2020-12-13,Eua Nba,21:00,Detroit Pistons,New York Knicks,99.0,91.0,1.76,2.1,210.5,1.9,1.9,-2.5,1.9,1.9
,2020-12-13,Eua Nba,22:00,Chicago Bulls,Houston Rockets,104.0,91.0,2.2,1.71,219.5,1.9,1.9,1.5,1.9,1.9
,2020-12-13,Eua Nba,22:30,Los Angeles Lakers,Los Angeles Clippers,131.0,106.0,2.7,1.5,211.5,1.9,1.9,3.5,1.9,1.9
,2020-12-13,Eua Nba,23:00,Portland Trail Blazers,Sacramento Kings,106.0,121.0,1.45,2.8,225.5,1.9,1.9,-7.5,1.9,1.9
,2020-12-14,Eua Nba,23:00,Utah Jazz,Phoenix Suns,111.0,92.0,2.0,1.83,0.0,0.0,0.0,-2.5,1.95,1.86
,2020-12-14,Eua Nba,22:00,Milwaukee Bucks,Dallas Mavericks,112.0,128.0,1.55,2.6,224.5,1.9,1.9,-4.5,1.9,1.9
,2020-12-14,Eua Nba,22:00,Minnesota Timberwolves,Memphis Grizzlies,104.0,123.0,1.86,1.95,220.5,1.9,1.9,3.5,1.62,0.0
,2020-12-14,Eua Nba,21:00,Charlotte Hornets,Toronto Raptors,109.0,112.0,2.55,1.57,216.5,1.9,1.9,4.5,1.86,1.95
,2020-12-14,Eua Nba,21:00,Miami Heat,New Orleans Pelicans,92.0,114.0,1.66,2.3,217.5,1.9,1.9,-4.5,1.9,1.9
,2020-12-14,Eua Nba,20:00,Cleveland Cavaliers,Indiana Pacers,116.0,106.0,2.9,1.43,216.5,1.9,1.9,5.5,1.95,1.86
,2020-12-15,Eua Nba,21:30,Philadelphia 76ers,Boston Celtics,108.0,99.0,1.54,2.65,214.5,1.9,1.9,-5.5,1.9,1.9
,2020-12-15,Eua Nba,22:00,Houston Rockets,San Antonio Spurs,112.0,98.0,1.62,2.4,220.5,1.9,1.9,-4.5,1.95,1.86
,2020-12-16,Eua Nba,00:00,Sacramento Kings,Golden State Warriors,114.0,113.0,1.68,2.25,220.5,1.9,1.9,-2.5,1.86,1.95
,2020-12-16,Eua Nba,21:30,New York Knicks,Cleveland Cavaliers,100.0,93.0,1.64,2.35,210.5,1.9,1.9,-3.5,1.9,1.9
,2020-12-16,Eua Nba,22:00,Oklahoma City Thunder,Chicago Bulls,103.0,124.0,1.95,1.86,218.5,1.9,1.9,-1.5,1.9,1.9
,2020-12-16,Eua Nba,23:00,Phoenix Suns,Los Angeles Lakers,107.0,112.0,2.45,1.6,218.5,1.9,1.9,2.5,1.9,1.9
,2020-12-16,Eua Nba,23:00,Denver Nuggets,Portland Trail Blazers,126.0,95.0,1.55,2.6,219.5,1.9,1.9,-4.5,1.9,1.9
,2020-12-17,Eua Nba,23:00,Sacramento Kings,Golden State Warriors,105.0,113.0,1.8,2.05,226.5,1.9,1.9,-1.5,1.9,1.9
,2020-12-17,Eua Nba,22:30,Dallas Mavericks,Minnesota Timberwolves,127.0,129.0,1.38,3.15,222.5,1.9,1.9,-6.5,1.86,1.95
,2020-12-17,Eua Nba,21:00,Washington Wizards,Detroit Pistons,86.0,97.0,1.47,2.75,214.5,1.9,1.9,-5.5,1.9,1.9
,2020-12-17,Eua Nba,22:00,Memphis Grizzlies,Atlanta Hawks,128.0,106.0,1.8,2.05,224.5,1.9,1.9,-2.5,1.9,1.9
,2020-12-17,Eua Nba,21:00,Orlando Magic,Charlotte Hornets,115.0,123.0,1.5,2.7,219.5,1.9,1.9,-4.5,1.86,1.95
,2020-12-17,Eua Nba,22:00,Houston Rockets,San Antonio Spurs,128.0,106.0,1.58,2.5,219.5,1.9,1.9,-4.5,1.9,1.9
,2020-12-18,Eua Nba,22:00,Boston Celtics,Brooklyn Nets,89.0,113.0,2.25,1.68,224.5,1.9,1.9,1.5,1.9,1.9
,2020-12-18,Eua Nba,23:00,Denver Nuggets,Portland Trail Blazers,129.0,96.0,1.47,2.75,220.5,1.9,1.9,-5.5,1.9,1.9
,2020-12-18,Eua Nba,22:00,Oklahoma City Thunder,Chicago Bulls,103.0,105.0,2.0,1.83,221.5,1.9,1.9,1.5,1.9,1.9
,2020-12-18,Eua Nba,22:00,New Orleans Pelicans,Milwaukee Bucks,127.0,113.0,1.86,1.95,227.5,1.9,1.9,1.5,1.9,1.9
,2020-12-18,Eua Nba,21:30,New York Knicks,Cleveland Cavaliers,119.0,83.0,1.74,2.15,209.5,1.9,1.9,-2.5,1.95,1.86
,2020-12-18,Eua Nba,21:00,Toronto Raptors,Miami Heat,105.0,117.0,1.66,2.3,218.5,1.9,1.9,-2.5,1.86,1.95
,2020-12-18,Eua Nba,20:00,Indiana Pacers,Philadelphia 76ers,107.0,113.0,2.1,1.76,217.5,1.9,1.9,1.5,1.9,1.9
,2020-12-18,Eua Nba,00:00,Los Angeles Clippers,Utah Jazz,105.0,125.0,1.54,2.65,217.5,1.9,1.9,-4.5,1.9,1.9
,2020-12-19,Eua Nba,00:30,Phoenix Suns,Los Angeles Lakers,113.0,114.0,2.4,1.62,220.5,1.9,1.9,3.5,1.9,1.9
,2020-12-19,Eua Nba,21:00,Washington Wizards,Detroit Pistons,99.0,96.0,1.5,2.7,208.5,1.9,1.9,-4.5,1.86,1.95
,2020-12-19,Eua Nba,21:00,Orlando Magic,Charlotte Hornets,120.0,117.0,1.57,2.55,222.5,1.9,1.9,-4.5,1.9,1.9
,2020-12-19,Eua Nba,22:00,Memphis Grizzlies,Atlanta Hawks,116.0,117.0,1.66,2.3,226.5,1.9,1.9,-3.5,1.95,1.86
,2020-12-22,Eua Nba,21:00,Brooklyn Nets,Golden State Warriors,125.0,99.0,1.29,3.7,228.5,1.9,1.9,-7.5,1.9,1.9
,2020-12-23,Eua Nba,22:00,Memphis Grizzlies,San Antonio Spurs,119.0,131.0,1.76,2.1,229.5,1.9,1.9,-2.5,1.86,1.95
,2020-12-23,Eua Nba,22:00,Minnesota Timberwolves,Detroit Pistons,111.0,101.0,1.45,2.8,222.5,1.9,1.9,-5.5,1.9,1.9
,2020-12-23,Eua Nba,21:30,Boston Celtics,Milwaukee Bucks,122.0,121.0,2.65,1.54,222.5,1.9,1.9,3.5,1.9,1.9
,2020-12-23,Eua Nba,21:30,Toronto Raptors,New Orleans Pelicans,99.0,113.0,1.62,2.4,228.5,1.9,1.9,-4.5,1.9,1.9
,2020-12-23,Eua Nba,22:00,Chicago Bulls,Atlanta Hawks,104.0,124.0,2.05,1.8,230.5,1.86,1.95,1.5,1.9,1.9
,2020-12-23,Eua Nba,21:00,Indiana Pacers,New York Knicks,121.0,107.0,1.31,3.6,212.5,1.9,1.9,-7.5,1.9,1.9
