Unnamed: 0,Date,League,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
,2021-10-03,Eua Nba,16:30,Los Angeles Lakers,Brooklyn Nets,97.0,123.0,1.62,2.4,219.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-04,Eua Nba,23:30,Los Angeles Clippers,Denver Nuggets,103.0,102.0,2.15,1.74,214.5,1.9,1.9,1.5,1.9,1.9
,2021-10-04,Eua Nba,23:00,Portland Trail Blazers,Golden State Warriors,107.0,121.0,1.74,2.15,219.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-04,Eua Nba,23:00,Sacramento Kings,Phoenix Suns,117.0,106.0,1.68,2.25,217.5,1.9,1.9,-2.5,1.9,1.9
,2021-10-04,Eua Nba,21:30,San Antonio Spurs,Utah Jazz,111.0,85.0,2.4,1.62,216.5,1.9,1.9,3.5,1.9,1.9
,2021-10-04,Eua Nba,20:00,Toronto Raptors,Philadelphia 76ers,123.0,107.0,1.71,2.2,214.5,1.9,1.9,-2.5,1.86,1.95
,2021-10-04,Eua Nba,21:00,Oklahoma City Thunder,Charlotte Hornets,97.0,113.0,2.45,1.6,215.5,1.9,1.9,2.5,1.9,1.9
,2021-10-04,Eua Nba,20:30,Miami Heat,Atlanta Hawks,125.0,99.0,1.68,2.25,211.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-04,Eua Nba,21:00,Minnesota Timberwolves,New Orleans Pelicans,117.0,114.0,1.68,2.25,220.5,1.9,1.9,-3.5,1.95,1.86
,2021-10-04,Eua Nba,20:30,Boston Celtics,Orlando Magic,98.0,97.0,1.34,3.35,213.5,1.9,1.9,-7.5,1.9,1.9
,2021-10-05,Eua Nba,20:30,New York Knicks,Indiana Pacers,125.0,104.0,1.62,2.4,213.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-05,Eua Nba,21:00,Memphis Grizzlies,Milwaukee Bucks,87.0,77.0,1.38,3.15,221.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-05,Eua Nba,21:00,Houston Rockets,Washington Wizards,125.0,119.0,1.83,2.0,224.5,1.9,1.9,-1.5,1.9,1.9
,2021-10-05,Eua Nba,21:00,Chicago Bulls,Cleveland Cavaliers,131.0,95.0,1.45,2.8,211.5,1.9,1.9,-5.5,1.86,1.95
,2021-10-06,Eua Nba,23:30,Los Angeles Clippers,Sacramento Kings,98.0,113.0,1.8,2.05,220.5,1.9,1.9,-2.5,1.9,1.9
,2021-10-06,Eua Nba,23:00,Golden State Warriors,Denver Nuggets,118.0,116.0,1.54,2.65,218.5,1.9,1.9,-4.5,1.86,1.95
,2021-10-06,Eua Nba,21:30,Dallas Mavericks,Utah Jazz,111.0,101.0,1.45,2.8,215.5,1.9,1.9,-5.5,1.9,1.9
,2021-10-06,Eua Nba,20:30,Atlanta Hawks,Cleveland Cavaliers,96.0,99.0,1.64,2.35,215.5,1.9,1.9,-3.5,1.95,1.86
,2021-10-06,Eua Nba,20:00,Detroit Pistons,San Antonio Spurs,115.0,105.0,2.3,1.66,213.5,1.9,1.9,2.5,1.9,1.9
,2021-10-06,Eua Nba,19:00,Phoenix Suns,Los Angeles Lakers,117.0,105.0,1.66,2.3,215.5,1.9,1.9,-1.5,1.95,1.86
,2021-10-06,Eua Nba,21:00,New Orleans Pelicans,Orlando Magic,104.0,86.0,1.66,2.3,217.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-07,Eua Nba,20:00,Philadelphia 76ers,Toronto Raptors,125.0,113.0,1.5,2.7,220.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-07,Eua Nba,20:00,Charlotte Hornets,Memphis Grizzlies,98.0,128.0,2.1,1.76,215.5,1.9,1.9,1.5,1.9,1.9
,2021-10-07,Eua Nba,23:00,Houston Rockets,Miami Heat,106.0,113.0,0.0,0.0,218.5,1.9,1.9,5.5,1.9,1.9
,2021-10-08,Eua Nba,23:00,Golden State Warriors,Los Angeles Lakers,121.0,114.0,1.64,2.35,222.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-08,Eua Nba,21:30,Dallas Mavericks,Los Angeles Clippers,122.0,114.0,1.5,2.7,215.5,1.9,1.9,-4.5,1.86,1.95
,2021-10-08,Eua Nba,22:00,Denver Nuggets,Minnesota Timberwolves,112.0,114.0,1.57,2.55,221.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-08,Eua Nba,21:00,Chicago Bulls,New Orleans Pelicans,121.0,85.0,1.28,3.75,221.5,1.9,1.9,-8.5,1.9,1.9
,2021-10-08,Eua Nba,20:30,Brooklyn Nets,Milwaukee Bucks,119.0,115.0,1.2,4.75,218.5,1.9,1.9,-10.5,1.9,1.9
,2021-10-08,Eua Nba,20:00,Cleveland Cavaliers,Indiana Pacers,100.0,109.0,2.5,1.58,215.5,1.9,1.9,3.5,1.9,1.9
,2021-10-08,Eua Nba,21:30,San Antonio Spurs,Miami Heat,105.0,109.0,1.4,3.05,217.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-09,Eua Nba,20:00,Washington Wizards,New York Knicks,99.0,117.0,1.95,1.86,222.5,1.9,1.9,-1.5,1.9,1.9
,2021-10-09,Eua Nba,20:00,Boston Celtics,Toronto Raptors,113.0,111.0,1.62,2.4,217.5,1.9,1.9,-3.5,1.95,1.86
,2021-10-09,Eua Nba,21:00,Memphis Grizzlies,Atlanta Hawks,87.0,91.0,2.05,1.8,215.5,1.9,1.9,-1.5,1.9,1.9
,2021-10-10,Eua Nba,19:00,Orlando Magic,San Antonio Spurs,100.0,101.0,2.15,1.74,209.5,1.9,1.9,1.5,1.9,1.9
,2021-10-10,Eua Nba,20:00,Cleveland Cavaliers,Chicago Bulls,101.0,102.0,3.65,1.3,215.5,1.9,1.9,6.5,1.9,1.9
,2021-10-10,Eua Nba,20:30,Milwaukee Bucks,Oklahoma City Thunder,130.0,110.0,1.37,3.2,218.5,1.9,1.9,-6.5,1.86,1.95
,2021-10-10,Eua Nba,23:00,Los Angeles Lakers,Phoenix Suns,94.0,123.0,2.15,1.74,220.5,1.9,1.9,2.5,1.9,1.9
,2021-10-11,Eua Nba,23:30,Los Angeles Clippers,Minnesota Timberwolves,100.0,128.0,2.1,1.76,226.5,1.9,1.9,-1.5,1.9,1.9
,2021-10-11,Eua Nba,23:00,Portland Trail Blazers,Sacramento Kings,93.0,107.0,3.4,1.33,218.5,1.9,1.9,5.5,1.95,1.86
,2021-10-11,Eua Nba,22:00,Utah Jazz,New Orleans Pelicans,127.0,96.0,1.28,3.75,221.5,1.9,1.9,-7.5,1.86,1.95
,2021-10-11,Eua Nba,20:00,Toronto Raptors,Houston Rockets,107.0,92.0,1.41,3.0,221.5,1.9,1.9,-5.5,1.9,1.9
,2021-10-11,Eua Nba,21:00,Philadelphia 76ers,Brooklyn Nets,115.0,104.0,3.3,1.35,228.5,1.9,1.9,6.5,1.9,1.9
,2021-10-11,Eua Nba,20:30,Miami Heat,Charlotte Hornets,104.0,103.0,1.29,3.7,217.5,1.9,1.9,-8.5,1.9,1.9
,2021-10-11,Eua Nba,21:00,Memphis Grizzlies,Detroit Pistons,127.0,92.0,1.41,3.0,218.5,1.9,1.9,-7.5,1.9,1.9
,2021-10-12,Eua Nba,20:00,Washington Wizards,Toronto Raptors,108.0,113.0,1.32,3.5,223.5,1.9,1.9,-8.5,1.9,1.9
,2021-10-12,Eua Nba,23:30,Los Angeles Lakers,Golden State Warriors,99.0,111.0,1.34,3.35,224.5,1.9,1.9,-7.5,1.9,1.9
,2021-10-13,Eua Nba,22:00,Utah Jazz,Milwaukee Bucks,124.0,120.0,1.58,2.5,222.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-13,Eua Nba,20:30,New York Knicks,Detroit Pistons,108.0,100.0,1.28,3.75,218.5,1.9,1.9,-8.5,1.9,1.9
,2021-10-13,Eua Nba,21:00,Oklahoma City Thunder,Denver Nuggets,108.0,99.0,3.75,1.28,222.5,1.9,1.9,6.5,1.9,1.9
,2021-10-13,Eua Nba,20:00,Orlando Magic,Boston Celtics,103.0,102.0,1.41,3.0,207.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-13,Eua Nba,18:00,Phoenix Suns,Portland Trail Blazers,119.0,74.0,1.37,3.2,217.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-13,Eua Nba,20:00,Indiana Pacers,Memphis Grizzlies,109.0,107.0,1.31,3.6,213.5,1.9,1.9,-7.5,1.9,1.9
,2021-10-13,Eua Nba,19:30,Charlotte Hornets,Dallas Mavericks,59.0,127.0,3.35,1.34,216.5,1.9,1.9,5.5,1.9,1.9
,2021-10-14,Eua Nba,20:00,Atlanta Hawks,Miami Heat,127.0,92.0,1.13,6.25,212.5,1.9,1.9,-12.5,1.9,1.9
,2021-10-14,Eua Nba,20:30,Brooklyn Nets,Minnesota Timberwolves,107.0,101.0,1.32,3.5,224.5,1.86,1.95,-8.5,1.9,1.9
,2021-10-14,Eua Nba,21:00,Oklahoma City Thunder,Denver Nuggets,107.0,113.0,2.7,1.5,216.5,1.9,1.9,2.5,1.95,1.86
,2021-10-14,Eua Nba,23:00,Sacramento Kings,Los Angeles Lakers,116.0,112.0,2.25,1.68,217.5,1.9,1.9,2.5,1.9,1.9
,2021-10-15,Eua Nba,23:00,Golden State Warriors,Portland Trail Blazers,119.0,97.0,1.27,3.9,226.5,1.9,1.9,-8.5,1.9,1.9
,2021-10-15,Eua Nba,21:30,San Antonio Spurs,Houston Rockets,126.0,98.0,1.58,2.5,219.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-15,Eua Nba,21:00,Chicago Bulls,Memphis Grizzlies,118.0,105.0,1.5,2.7,217.5,1.86,1.95,-4.5,1.9,1.9
,2021-10-15,Eua Nba,20:00,Detroit Pistons,Philadelphia 76ers,112.0,108.0,1.71,2.2,214.5,1.9,1.9,-2.5,1.9,1.9
,2021-10-15,Eua Nba,20:00,Indiana Pacers,Cleveland Cavaliers,94.0,110.0,1.42,2.95,211.5,1.9,1.9,-7.5,1.9,1.9
,2021-10-15,Eua Nba,19:30,Miami Heat,Boston Celtics,121.0,100.0,1.28,3.75,214.5,1.9,1.9,-8.5,1.9,1.9
,2021-10-15,Eua Nba,20:30,New York Knicks,Washington Wizards,115.0,113.0,1.43,2.9,213.5,1.86,1.95,-5.5,1.9,1.9
,2021-10-15,Eua Nba,21:00,Milwaukee Bucks,Dallas Mavericks,103.0,114.0,1.18,5.25,224.5,1.9,1.9,-11.5,1.9,1.9
,2021-10-19,Eua Nba,20:30,Milwaukee Bucks,Brooklyn Nets,127.0,104.0,1.8,2.05,233.5,1.9,1.9,-1.5,1.9,1.9
,2021-10-19,Eua Nba,23:00,Los Angeles Lakers,Golden State Warriors,114.0,121.0,1.66,2.3,226.5,1.9,1.9,-4.5,1.9,1.9
,2021-10-20,Eua Nba,21:00,Memphis Grizzlies,Cleveland Cavaliers,132.0,121.0,1.34,3.35,216.5,1.9,1.9,-7.5,1.9,1.9
,2021-10-20,Eua Nba,23:00,Phoenix Suns,Denver Nuggets,98.0,110.0,1.41,3.0,223.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-20,Eua Nba,23:00,Portland Trail Blazers,Sacramento Kings,121.0,124.0,1.38,3.15,230.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-20,Eua Nba,22:00,Utah Jazz,Oklahoma City Thunder,107.0,86.0,1.08,8.5,220.5,1.9,1.9,-13.5,1.86,1.95
,2021-10-20,Eua Nba,21:30,San Antonio Spurs,Orlando Magic,123.0,97.0,1.36,3.25,211.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-20,Eua Nba,21:00,Minnesota Timberwolves,Houston Rockets,124.0,106.0,1.38,3.15,227.5,1.86,1.95,-6.5,1.9,1.9
,2021-10-20,Eua Nba,20:30,New York Knicks,Boston Celtics,138.0,134.0,1.68,2.25,215.5,1.9,1.9,-2.5,1.9,1.9
,2021-10-20,Eua Nba,20:30,Toronto Raptors,Washington Wizards,83.0,98.0,1.71,2.2,218.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-20,Eua Nba,20:00,Charlotte Hornets,Indiana Pacers,123.0,122.0,2.05,1.8,222.5,1.9,1.9,-2.5,1.9,1.9
,2021-10-20,Eua Nba,20:00,Detroit Pistons,Chicago Bulls,88.0,94.0,2.8,1.45,218.5,1.9,1.9,2.5,1.9,1.9
,2021-10-20,Eua Nba,21:00,New Orleans Pelicans,Philadelphia 76ers,97.0,117.0,2.5,1.58,224.5,1.9,1.9,1.5,1.9,1.9
,2021-10-21,Eua Nba,20:30,Atlanta Hawks,Dallas Mavericks,113.0,87.0,1.71,2.2,224.5,1.9,1.9,-2.5,1.9,1.9
,2021-10-21,Eua Nba,21:00,Miami Heat,Milwaukee Bucks,137.0,95.0,1.71,2.2,221.5,1.9,1.9,-2.5,1.9,1.9
,2021-10-21,Eua Nba,23:00,Golden State Warriors,Los Angeles Clippers,115.0,113.0,1.55,2.6,225.5,1.9,1.9,-3.5,1.86,1.95
,2021-10-22,Eua Nba,23:00,Los Angeles Lakers,Phoenix Suns,105.0,115.0,2.0,1.83,220.5,1.9,1.9,-1.5,2.0,1.83
,2021-10-22,Eua Nba,23:00,Sacramento Kings,Utah Jazz,101.0,110.0,3.0,1.41,225.5,1.86,1.95,5.5,1.9,1.9
,2021-10-22,Eua Nba,22:00,Denver Nuggets,San Antonio Spurs,102.0,96.0,1.32,3.5,218.5,1.86,1.95,-7.5,1.9,1.9
,2021-10-22,Eua Nba,21:00,Chicago Bulls,New Orleans Pelicans,128.0,112.0,1.38,3.15,221.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-22,Eua Nba,20:30,Philadelphia 76ers,Brooklyn Nets,109.0,114.0,1.95,1.86,224.5,1.9,1.9,1.5,1.9,1.9
,2021-10-22,Eua Nba,20:30,Boston Celtics,Toronto Raptors,83.0,115.0,1.35,3.3,217.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-22,Eua Nba,20:00,Cleveland Cavaliers,Charlotte Hornets,112.0,123.0,2.15,1.74,225.5,1.9,1.9,2.5,1.9,1.9
,2021-10-22,Eua Nba,20:00,Orlando Magic,New York Knicks,96.0,121.0,3.75,1.28,211.5,1.9,1.9,6.5,1.9,1.9
,2021-10-22,Eua Nba,20:00,Washington Wizards,Indiana Pacers,135.0,134.0,2.1,1.76,225.5,1.9,1.9,-2.5,1.95,1.86
,2021-10-22,Eua Nba,21:00,Houston Rockets,Oklahoma City Thunder,124.0,91.0,1.68,2.25,220.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-23,Eua Nba,23:30,Los Angeles Clippers,Memphis Grizzlies,114.0,120.0,1.58,2.5,225.5,1.9,1.9,-4.5,1.9,1.9
,2021-10-23,Eua Nba,23:00,Portland Trail Blazers,Phoenix Suns,134.0,105.0,1.66,2.3,229.5,1.9,1.9,-2.5,1.86,1.95
,2021-10-23,Eua Nba,21:30,San Antonio Spurs,Milwaukee Bucks,111.0,121.0,3.1,1.4,223.5,1.9,1.9,6.5,1.9,1.9
,2021-10-23,Eua Nba,20:30,Toronto Raptors,Dallas Mavericks,95.0,103.0,2.6,1.55,215.5,1.9,1.9,3.5,1.95,1.86
,2021-10-23,Eua Nba,21:00,Minnesota Timberwolves,New Orleans Pelicans,96.0,89.0,1.33,3.4,226.5,1.9,1.9,-7.5,1.9,1.9
,2021-10-23,Eua Nba,21:00,Chicago Bulls,Detroit Pistons,97.0,82.0,1.28,3.75,213.5,1.9,1.9,-8.5,1.95,1.86
,2021-10-23,Eua Nba,19:00,Cleveland Cavaliers,Atlanta Hawks,101.0,95.0,3.9,1.27,222.5,1.9,1.9,7.5,1.9,1.9
,2021-10-23,Eua Nba,20:00,Indiana Pacers,Miami Heat,102.0,91.0,2.35,1.64,222.5,1.9,1.9,3.5,1.9,1.9
,2021-10-24,Eua Nba,17:00,Brooklyn Nets,Charlotte Hornets,95.0,111.0,1.23,4.25,231.5,1.9,1.9,-9.5,1.95,1.86
,2021-10-24,Eua Nba,20:00,Oklahoma City Thunder,Philadelphia 76ers,103.0,115.0,4.75,1.2,215.5,1.9,1.9,7.5,1.9,1.9
,2021-10-24,Eua Nba,20:00,New York Knicks,Orlando Magic,104.0,110.0,1.12,6.5,211.5,1.9,1.9,8.5,1.02,0.0
,2021-10-24,Eua Nba,20:00,Houston Rockets,Boston Celtics,97.0,107.0,2.75,1.47,221.5,1.9,1.9,5.5,1.86,1.95
,2021-10-24,Eua Nba,22:00,Sacramento Kings,Golden State Warriors,107.0,119.0,2.35,1.64,232.5,1.9,1.9,3.5,1.9,1.9
,2021-10-24,Eua Nba,22:30,Los Angeles Lakers,Memphis Grizzlies,121.0,118.0,1.47,2.75,220.5,1.9,1.9,-6.5,1.9,1.9
,2021-10-25,Eua Nba,23:30,Los Angeles Clippers,Portland Trail Blazers,116.0,86.0,1.74,2.15,230.5,1.9,1.9,-3.5,1.9,1.9
,2021-10-25,Eua Nba,22:00,Denver Nuggets,Cleveland Cavaliers,87.0,99.0,1.19,5.0,219.5,1.9,1.9,-10.5,1.9,1.9
,2021-10-25,Eua Nba,21:00,Minnesota Timberwolves,New Orleans Pelicans,98.0,107.0,1.44,2.85,224.5,1.9,1.9,-5.5,1.9,1.9
,2021-10-25,Eua Nba,20:30,Atlanta Hawks,Detroit Pistons,122.0,104.0,1.14,6.0,212.5,1.9,1.9,-11.5,1.9,1.9
,2021-10-25,Eua Nba,20:30,Toronto Raptors,Chicago Bulls,108.0,111.0,2.1,1.76,211.5,1.9,1.9,1.5,1.9,1.9
,2021-10-25,Eua Nba,20:30,Miami Heat,Orlando Magic,107.0,90.0,1.09,8.0,211.5,1.9,1.9,-13.5,1.9,1.9
,2021-10-25,Eua Nba,20:00,Charlotte Hornets,Boston Celtics,129.0,140.0,2.05,1.8,223.5,1.9,1.9,0.5,1.83,2.0
,2021-10-25,Eua Nba,20:00,Indiana Pacers,Milwaukee Bucks,109.0,119.0,2.05,1.8,229.5,1.9,1.9,2.5,1.86,1.95
,2021-10-25,Eua Nba,20:30,Brooklyn Nets,Washington Wizards,104.0,90.0,1.41,3.0,228.5,1.9,1.9,-8.5,2.0,1.83
,2021-10-26,Eua Nba,21:30,Dallas Mavericks,Houston Rockets,116.0,106.0,1.14,6.0,220.5,1.86,1.95,-10.5,1.9,1.9
,2021-10-26,Eua Nba,23:00,Utah Jazz,Denver Nuggets,122.0,110.0,1.31,3.55,218.5,1.9,1.9,-7.5,1.9,1.9
,2021-10-26,Eua Nba,21:00,Oklahoma City Thunder,Golden State Warriors,98.0,106.0,4.75,1.2,222.5,1.9,1.9,9.5,1.9,1.9
,2021-10-26,Eua Nba,20:30,New York Knicks,Philadelphia 76ers,112.0,99.0,1.86,1.95,216.5,1.9,1.9,-2.5,1.95,1.86
,2021-10-26,Eua Nba,21:30,San Antonio Spurs,Los Angeles Lakers,121.0,125.0,1.71,2.2,219.5,1.9,1.9,-2.5,1.9,1.9
,2021-10-27,Eua Nba,23:30,Los Angeles Clippers,Cleveland Cavaliers,79.0,92.0,1.26,4.0,218.5,1.9,1.9,-8.5,1.9,1.9
