Unnamed: 0,Date,League,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
,2022-09-30,Eua Nba,07:00,Washington Wizards,Golden State Warriors,87.0,96.0,2.5,1.58,227.5,1.9,1.9,4.5,1.86,1.95
,2022-10-01,Eua Nba,21:00,Milwaukee Bucks,Memphis Grizzlies,102.0,107.0,1.43,2.9,221.5,1.9,1.9,-5.5,1.9,1.9
,2022-10-02,Eua Nba,14:00,Boston Celtics,Charlotte Hornets,134.0,93.0,1.4,3.1,214.5,1.9,1.9,-8.5,1.9,1.9
,2022-10-02,Eua Nba,20:00,Houston Rockets,San Antonio Spurs,134.0,96.0,1.58,2.5,218.5,1.9,1.9,-4.5,1.9,1.9
,2022-10-02,Eua Nba,02:00,Washington Wizards,Golden State Warriors,95.0,104.0,2.35,1.64,217.5,1.86,1.95,3.5,1.86,1.95
,2022-10-02,Eua Nba,19:00,Toronto Raptors,Utah Jazz,114.0,82.0,1.43,2.9,213.5,1.9,1.9,-7.5,1.9,1.9
,2022-10-03,Eua Nba,20:30,Brooklyn Nets,Philadelphia 76ers,108.0,127.0,1.3,3.65,217.5,1.9,1.9,-7.5,1.9,1.9
,2022-10-03,Eua Nba,21:00,Memphis Grizzlies,Orlando Magic,109.0,97.0,1.32,3.5,213.5,1.9,1.9,-7.5,1.9,1.9
,2022-10-03,Eua Nba,22:00,Denver Nuggets,Oklahoma City Thunder,101.0,112.0,1.23,4.25,215.5,1.9,1.9,-9.5,1.9,1.9
,2022-10-03,Eua Nba,23:30,Los Angeles Lakers,Sacramento Kings,75.0,105.0,1.47,2.75,215.5,1.9,1.9,-5.5,1.95,1.86
,2022-10-03,Eua Nba,23:30,Los Angeles Clippers,Portland Trail Blazers,102.0,97.0,1.34,3.35,215.5,1.9,1.9,-8.5,1.9,1.9
,2022-10-04,Eua Nba,20:00,New York Knicks,Detroit Pistons,117.0,96.0,1.5,2.7,208.5,1.9,1.9,-4.5,1.9,1.9
