Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Porc_Over_Home,Porc_Over_Away,CustoGolHome,CustoGolAway,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_CG_A,DP_CG_A,CV_CG_A,MediaCustoGolHome,MediaCustoGolAway,Last_CG_H,Last_CG_A,Acima_Last_CG_H,Acima_Last_CG_A,Abaixo_Last_CG_H,Abaixo_Last_CG_A,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA,prediction_label,prediction_score
2024-03-26,Argentina Liga A,21:00,Comunicaciones Mercedes,San Martin,1.78,1.94,157.5,1.82,1.88,-2.5,2.0,2.3,KxFO1UWt,0.56179774,0.5154639,0.5494506,0.5319149,0.07726167,0.4,0.6,,,184.672,84.735954,0.4588457,133.946,49.572884,0.37009606,184.672,176.332,131.72,207.92,0.0,0.0,0.0,0.0,0.06082639,0.022933193,0.098666064,0.47,0.094,8.297873,0.56792283,0.4,-0.16792285,-1.38,-0.276,-3.405797,0.0,0.0,0.0,1,1.0
2024-03-26,China Cba,08:35,Guangzhou,Zhejiang Guangsha,1.75,2.01,197.5,1.83,1.91,-1.5,1.86,2.12,x6XVDs9l,0.5714286,0.49751243,0.5464481,0.5235602,0.06894101,0.6,0.2,,,193.762,66.25105,0.34191975,135.522,14.479189,0.10684014,242.694,150.114,181.39,153.0,0.0,0.0,0.0,0.0,0.09779137,0.030250557,0.09238581,3.01,0.602,1.2458472,0.53637767,0.6,0.06362231,-2.88,-0.576,-1.7534722,0.61678916,0.2,-0.41678914,1,0.9943
2024-03-26,China Cba,08:35,Shandong,Beijing Royal Fighters,1.86,1.88,217.5,1.81,1.91,-1.5,1.95,1.98,tbUnAa8D,0.53763443,0.5319149,0.5524862,0.5235602,0.0695493,0.8,0.6,,,280.516,147.9385,0.52737993,205.632,68.98018,0.3354545,213.868,206.876,113.36,181.5,0.0,0.0,0.0,0.0,0.007562639,0.038016494,0.010795523,-1.08,-0.216,-3.9814816,0.6142099,0.6,-0.014209902,1.07,0.214,4.1121497,0.49113065,0.5,0.008869344,1,0.8343
2024-03-26,Eua Nit,22:00,Indiana State,Cincinnati,1.64,2.23,154.5,1.8,1.95,-3.5,1.91,2.8,f3BJ9F2F,0.6097561,0.44843048,0.5555556,0.51282054,0.05818659,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21560362,0.05656854,0.26722932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-03-26,França Pro B,16:00,ASA,Chalons-Reims,1.74,1.99,154.5,1.81,1.85,-2.5,2.01,2.39,YmiiTTHQ,0.57471263,0.5025126,0.5524862,0.5405405,0.07722521,0.2,0.8,,,155.128,51.27002,0.33050138,143.444,53.677876,0.37420788,146.096,200.718,146.2,216.81,0.0,0.0,0.0,0.0,0.094786435,0.015455886,0.12213662,2.82,0.564,1.3120568,0.0,0.0,0.0,1.19,0.238,4.1596637,0.0,0.0,0.0,1,1.0
2024-03-26,França Pro B,16:00,Poitiers,Nantes,1.45,2.62,165.5,1.87,1.79,-5.5,1.93,2.01,4EnmU92K,0.6896552,0.3816794,0.53475934,0.5586592,0.07133456,0.6,0.4,,,176.688,71.812996,0.40643957,143.596,34.433113,0.23979159,143.832,176.954,110.08,131.08,0.0,0.0,0.0,0.0,0.40654296,0.030911772,0.028714996,-0.37,-0.074,-6.081081,0.0,0.0,0.0,-2.8,-0.56,-2.892857,0.0,0.0,0.0,1,1.0
2024-03-26,Israel Liga Leumit,14:15,Maccabi Maale Adumim,Safed,1.77,1.95,157.5,1.81,1.87,-1.5,1.87,2.24,0K6jNT9f,0.56497175,0.51282054,0.5524862,0.53475934,0.077792265,0.0,0.6,,,170.418,58.757744,0.34478602,169.97,38.07262,0.22399612,0.0,198.052,177.75,134.64,0.0,0.0,0.0,0.0,0.068429686,0.02305783,0.12731363,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-1.0,-0.95,0.0,0.0,0.0,1,1.0
2024-03-26,Rússia Liga Vtb United,14:00,Lokomotiv Kuban,Unics Kazan,1.78,2.04,165.5,1.89,1.9,-2.5,2.03,2.33,tIlJrOEO,0.56179774,0.49019608,0.52910054,0.5263158,0.051993832,0.8,0.6,,,119.316,30.965862,0.25952816,137.5,42.30088,0.30764276,132.064,132.412,152.52,152.04,0.0,0.0,0.0,0.0,0.09625538,0.0037314342,0.09730827,0.56,0.112,6.964286,0.7432339,0.9,0.1567661,1.63,0.326,3.190184,0.72716963,0.8,0.072830394,1,1.0
2024-03-26,Eua Nba,23:00,Sacramento Kings,Dallas Mavericks,1.83,2.04,236.5,1.86,1.94,-2.5,1.98,2.16,z7WxrG9S,0.5464481,0.49019608,0.53763443,0.5154639,0.036644164,0.4,0.4,,,205.28,48.34896,0.23552689,223.858,43.581142,0.19468208,185.492,222.444,151.06,205.74,0.0,0.0,0.0,0.0,0.07674027,0.029772917,0.061487544,0.0,0.0,0.0,0.70652723,0.6,-0.106527224,0.03,0.006,173.33333,0.53913796,0.6,0.060862064,1,1.0
