Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_Pontos_H,DP_Pontos_H,CV_Pontos_H,CG_H_Last_Game,Media_Odds_Geral_H,DP_Odds_Geral_H,CV_Odds_Geral_H,Saldo_Gols_H,Avg_CG_A,DP_CG_A,CV_CG_A,Avg_Pontos_A,DP_Pontos_A,CV_Pontos_A,CG_A_Last_Game,Media_Odds_Geral_A,DP_Odds_Geral_A,CV_Odds_Geral_A,Saldo_Gols_A,Goals_Last_H,Goals_Last_A,Last_Odd_H,Last_Odd_A,MediaCustoGolHome,MediaCustoGolAway,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA
2024-03-23,Indonésia Ibl,09:30,Tangerang Hawks,Hangtuah,1.55,2.34,153.5,1.87,1.79,0.0,0.0,0.0,M5algaEg,0.6451612903225806,0.4273504273504274,0.53475935828877,0.5586592178770949,0.07251171767300812,230.214,174.58217457690233,0.7583473402004324,1.2,1.6431676725154984,1.3693063937629155,115.25999999999999,2.836,2.0809084554588173,0.7337476923338566,24.0,244.632,162.71430213721226,0.6651390747621417,0.6,1.3416407864998738,2.23606797749979,273.0,3.182,2.04355572471122,0.6422236721279762,-10.0,102,84,1.13,3.25,0.0,0.0,0.28720532500636115,0.030911771855149643,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-23,Japão B.League,03:35,Nagoya Fighting Eagles,Shimane,2.26,1.59,157.5,1.85,1.85,0.0,0.0,0.0,nJHufORg,0.4424778761061947,0.6289308176100629,0.5405405405405405,0.5405405405405405,0.07140869371625769,124.73200000000001,27.55347292084975,0.22090139595973565,2.4,1.3416407864998738,0.5590169943749475,154.05,1.636,0.5019760950483599,0.3068313539415403,42.0,210.53199999999998,105.5616178826376,0.5014041470305588,2.4,1.3416407864998738,0.5590169943749475,237.93,2.4360000000000004,1.2290158664557589,0.5045221126665677,38.0,65,103,2.37,2.31,183.804,263.268,0.24610989267272038,0.0,,-0.3400000000000003,-0.06800000000000006,-18.529411764705863,0.4990213624939903,0.6,0.10097863750600966,2.24,0.44800000000000006,1.3169642857142858,0.5100295281791494,0.5,-0.010029528179149372
2024-03-23,Turquia Kbsl Feminina,11:30,Izmit Bld. F,Galatasaray F,2.53,1.48,164.5,1.83,1.83,0.0,0.0,0.0,GriaxPyc,0.3952569169960475,0.6756756756756757,0.5464480874316939,0.5464480874316939,0.07093259267172325,144.04399999999998,48.674997996918286,0.337917566833178,2.4,1.3416407864998738,0.5590169943749475,123.17,1.6280000000000001,0.7375093219749835,0.45301555403868765,45.0,131.526,24.45850629126807,0.1859594779075473,1.8,1.6431676725154982,0.9128709291752768,168.29999999999998,1.3699999999999999,0.272855272992845,0.19916443284149274,45.0,113,99,1.09,1.7,148.816,149.44599999999997,0.37030529688073555,0.0,,3.1100000000000003,0.6220000000000001,2.459807073954983,0.0,0.0,0.0,-0.1200000000000001,-0.02400000000000002,-19.999999999999982,0.675020722295472,0.7,0.024979277704527902
2024-03-23,Taiwan Sbl,06:00,Bank of Taiwan,Yulon Luxgen Dinos,1.76,1.97,157.5,1.85,1.85,0.0,0.0,0.0,b9VASW9P,0.5681818181818182,0.5076142131979695,0.5405405405405405,0.5405405405405405,0.07579603137978763,169.434,98.65527345256308,0.5822637336813337,0.6,1.3416407864998738,2.23606797749979,127.89,2.2220000000000004,1.2291338413696045,0.5531655451708389,-25.0,212.448,67.05137522825315,0.31561311581306084,1.8,1.6431676725154982,0.9128709291752768,275.2,2.726,1.0458871832085905,0.38367101364951967,10.0,87,80,1.47,3.44,118.54,188.256,0.07962060270733241,0.0,,-0.5800000000000001,-0.11600000000000002,-6.551724137931034,0.0,0.0,0.0,-3.2399999999999998,-0.6479999999999999,-1.4969135802469138,0.0,0.0,0.0
2024-03-23,Bósnia E Herzegovina Prvenstvo Bih,15:30,Slavija,Orlovik,1.66,2.13,163.5,1.85,1.85,0.0,0.0,0.0,zP7Rxrsh,0.6024096385542169,0.4694835680751174,0.5405405405405405,0.5405405405405405,0.0718932066293343,273.588,169.79737474413434,0.620631660541158,0.0,0.0,,156.95,3.564,2.341021144714417,0.6568521730399598,-56.0,227.23600000000002,114.66412486039388,0.5046036933425772,1.2,1.6431676725154982,1.3693063937629153,386.59,3.022,1.9637515117753568,0.6498185015801975,-15.0,73,67,2.15,5.77,234.612,337.728,0.17537740747106983,0.0,,0.99,0.198,3.3333333333333326,0.0,0.0,0.0,-5.0,-1.0,-1.13,0.0,0.0,0.0
2024-03-23,Argentina Liga A,20:00,Platense,Boca Juniors,2.07,1.7,154.5,1.86,1.8,1.5,1.92,1.56,lEGTtld7,0.48309178743961356,0.5882352941176471,0.5376344086021505,0.5555555555555556,0.07132708155726064,120.346,12.54536288833447,0.10424412018957398,2.4,1.3416407864998738,0.5590169943749475,138.95999999999998,1.5139999999999998,0.2885827437668441,0.19060947408642281,46.0,139.88000000000002,45.223049432783725,0.32329889500131337,2.4,1.3416407864998738,0.5590169943749475,209.44000000000003,1.8760000000000001,0.9163132652101027,0.48843990682841293,45.0,72,77,1.93,2.72,115.52199999999998,150.482,0.1387954955114178,0.023183828891362234,0.14629795472825116,0.77,0.154,6.948051948051947,0.7009555743308489,0.8,0.09904442566915117,0.6700000000000002,0.13400000000000004,5.223880597014924,0.0,0.0,0.0
2024-03-23,Itália Liga A,16:30,Trento,Sassari,1.71,2.15,160.5,1.83,1.93,-3.5,2.0,2.75,Uy0nER04,0.5847953216374269,0.46511627906976744,0.5464480874316939,0.5181347150259068,0.04991160070719425,157.464,39.16208472489686,0.24870500384149302,1.2,1.6431676725154982,1.3693063937629153,168.1,1.8479999999999996,0.6465833279632255,0.3498827532268537,21.0,240.596,83.44985248638848,0.34684638350757485,2.4,1.3416407864998738,0.5590169943749475,261.82,2.8720000000000003,0.9822779647329976,0.34201878994881524,6.0,82,106,2.05,2.47,150.39799999999997,218.08199999999997,0.1612056910477103,0.037612062829071626,0.22329687826943603,-2.13,-0.426,-1.6666666666666665,0.0,0.0,0.0,0.71,0.142,8.098591549295774,0.3562469708871079,0.2,-0.15624697088710787
2024-03-23,Finlândia Korisliiga,12:00,Kobrat,KTP Basket,1.57,2.34,166.5,1.86,1.87,0.0,0.0,0.0,4IdaEsoh,0.6369426751592356,0.4273504273504274,0.5376344086021505,0.53475935828877,0.06429310250966314,154.67199999999997,20.582217324671312,0.13307009235460404,1.8,1.6431676725154982,0.9128709291752768,133.5,1.8939999999999997,0.3663741257239653,0.19343934832310739,-3.0,171.03400000000002,74.8437157014535,0.437595540661234,1.8,1.6431676725154982,0.9128709291752768,209.16000000000003,1.9120000000000001,0.6614529461722882,0.3459481936047532,-1.0,89,84,1.5,2.49,133.642,356.64,0.27850241509649176,0.0037914572717777377,,-3.58,-0.716,-0.7960893854748604,0.0,0.0,0.0,-2.26,-0.45199999999999996,-2.9646017699115044,0.0,0.0,0.0
2024-03-23,Finlândia Korisliiga Feminina,12:00,Pyrinto F,Forssan Alku F,2.19,1.63,157.5,1.86,1.84,0.0,0.0,0.0,I3kyLnAF,0.4566210045662101,0.6134969325153374,0.5376344086021505,0.5434782608695652,0.07011793708154745,211.91,159.7401622948969,0.7538113458302906,0.6,1.3416407864998738,2.23606797749979,95.63000000000001,3.232,2.9727798438498603,0.919795743765427,-74.0,161.768,58.698839170804725,0.36285816212603683,2.4,1.3416407864998738,0.5590169943749475,210.70000000000002,1.9940000000000002,0.5210854056678232,0.2613266828825593,17.0,73,98,1.31,2.15,243.276,298.686,0.20731926568820244,0.007644397634449168,,-1.78,-0.356,-3.342696629213483,0.0,0.0,0.0,-1.67,-0.33399999999999996,-1.8862275449101795,0.0,0.0,0.0
2024-03-23,Espanha Leb Plata,16:15,Huesca,Ciudad de Huelva,1.56,2.32,152.5,1.85,1.85,0.0,0.0,0.0,8QoKhRl0,0.641025641025641,0.4310344827586207,0.5405405405405405,0.5405405405405405,0.07206012378426174,147.682,16.536729422712344,0.11197525373919873,1.2,1.6431676725154982,1.3693063937629153,151.38,2.006,0.43809816251611927,0.21839389955938152,15.0,173.27800000000002,49.48090662063499,0.2855579278421668,1.2,1.6431676725154982,1.3693063937629153,218.07999999999998,2.192,0.7434177829457674,0.339150448424164,-7.0,87,94,1.74,2.32,0.0,168.186,0.2770109039699876,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9300000000000002,-0.18600000000000003,-7.096774193548385,0.0,0.0,0.0
