Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_Pontos_H,DP_Pontos_H,CV_Pontos_H,CG_H_Last_Game,Media_Odds_Geral_H,DP_Odds_Geral_H,CV_Odds_Geral_H,Saldo_Gols_H,Avg_CG_A,DP_CG_A,CV_CG_A,Avg_Pontos_A,DP_Pontos_A,CV_Pontos_A,CG_A_Last_Game,Media_Odds_Geral_A,DP_Odds_Geral_A,CV_Odds_Geral_A,Saldo_Gols_A,Goals_Last_H,Goals_Last_A,Last_Odd_H,Last_Odd_A,MediaCustoGolHome,MediaCustoGolAway,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA
2024-06-08,Eua Wnba,18:00,Chicago Sky F,Atlanta Dream F,2.08,1.75,157.5,1.81,1.95,1.5,1.92,1.61,bNvNnJMH,0.4807692307692307,0.5714285714285714,0.5524861878453039,0.5128205128205129,0.05219780219780201,176.99,78.5061991182862,0.44356290817722016,1.2,1.6431676725154982,1.3693063937629153,114.55,2.27,0.9848603961983647,0.43385920537372896,0.0,160.316,70.72932864095345,0.4411869597604322,1.2,1.6431676725154982,1.3693063937629153,199.47,2.372,0.9405158159223055,0.3965075109284593,-39.0,79,61,1.45,3.27,0.0,0.0,0.12185129910786462,0.05265688796070031,0.12419439216307626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-08,Turquia Superliga,14:30,Anadolu Efes,Fenerbahce,1.8,1.95,168.5,1.87,1.87,-2.5,2.04,2.23,hGzylSi5,0.5555555555555556,0.5128205128205129,0.53475935828877,0.53475935828877,0.06837606837606858,125.56200000000001,19.68697081828488,0.15679083495233334,2.4,1.3416407864998738,0.5590169943749475,132.46,1.4339999999999997,0.25832150510555646,0.1801405195994118,41.0,127.43199999999999,21.979939035402257,0.17248366999970383,3.0,0.0,0.0,166.6,1.3860000000000001,0.329893922344744,0.2380187029904358,83.0,74,85,1.79,1.96,112.33399999999999,141.09999999999997,0.056568542494923775,0.0,0.06292753556226886,-1.51,-0.302,-2.6490066225165565,0.8473230371598721,0.8,-0.04732303715987207,1.18,0.236,4.02542372881356,0.7981057331627034,0.9,0.10189426683729663
2024-06-08,Chile Lnb 2,19:00,Municipal Chillan,Truenos De Talca,2.17,1.64,130.5,1.87,1.83,0.0,0.0,0.0,8voPZRp3,0.4608294930875576,0.6097560975609756,0.53475935828877,0.5464480874316939,0.07058559064853309,307.35999999999996,356.121537680607,1.1586463355043175,0.6,1.3416407864998738,2.23606797749979,140.8,4.6,4.754050904228939,1.0334893270062913,-28.0,131.504,76.5259918589756,0.5819290048893996,2.4,1.3416407864998738,0.5590169943749475,264.74,2.022,1.3317920258058311,0.6586508535142588,6.0,55,62,2.56,4.27,164.624,0.0,0.1967278708812967,0.015288795268898337,,0.7000000000000002,0.14000000000000004,8.357142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-08,Itália Liga A,15:30,Virtus Bologna,Milano,1.61,2.33,155.5,1.87,1.89,-3.5,1.9,2.64,St7TdXwP,0.6211180124223602,0.4291845493562232,0.53475935828877,0.5291005291005292,0.0503025617785835,127.556,24.332875497975984,0.19076229654407464,1.8,1.6431676725154984,0.9128709291752769,125.24999999999999,1.506,0.23964557162609948,0.15912720559501958,14.0,138.988,35.5965162621288,0.256112155453196,3.0,0.0,0.0,190.92000000000002,1.5880000000000003,0.37784917625952297,0.23794028731707992,53.0,75,86,1.67,2.22,110.03799999999998,132.226,0.2584349657128498,0.007522412565814259,0.2305105806511213,-0.2500000000000002,-0.050000000000000044,-12.19999999999999,0.8250823474868682,0.8,-0.025082347486868106,2.6500000000000004,0.53,2.509433962264151,0.6809978921284918,0.8,0.11900210787150822
2024-06-08,Austrália Nbl1 Oeste,08:00,Mandurah Magic,East Perth Eagles,1.7,2.07,190.5,1.82,1.88,0.0,0.0,0.0,YR1QbrQp,0.5882352941176471,0.48309178743961356,0.5494505494505494,0.5319148936170213,0.07132708155726064,264.50000000000006,166.00057394479094,0.6276014137799278,2.4,1.3416407864998738,0.5590169943749475,141.9,2.534,1.7623365172406775,0.6954761315077654,84.0,173.55599999999998,73.2550454235065,0.4220830476820537,1.8,1.6431676725154982,0.9128709291752768,183.29999999999998,1.938,0.7070855676649044,0.36485323408921794,-17.0,129,94,1.1,1.95,187.252,280.578,0.1387954955114178,0.022933192903347423,,1.1100000000000003,0.22200000000000006,3.153153153153152,0.0,0.0,0.0,2.59,0.518,2.0656370656370653,0.0,0.0,0.0
2024-06-08,Austrália Nbl1 Oeste,09:00,Perry Lakes Hawks,Goldfields Giants,1.73,2.01,177.5,1.83,1.85,-2.5,1.98,2.43,fXnLKPn4,0.5780346820809249,0.49751243781094534,0.5464480874316939,0.5405405405405405,0.07554711989187024,215.67600000000002,150.34667964408126,0.6970950854248097,1.8,1.6431676725154982,0.9128709291752768,134.4,2.42,1.7136656616738286,0.7081263064767888,-5.0,174.696,51.381643901300016,0.29412032273950184,2.4,1.3416407864998738,0.5590169943749475,241.98000000000002,1.7340000000000004,0.4144031853159433,0.23898684274275847,49.0,84,109,1.6,2.22,0.0,235.01999999999998,0.10587695119370757,0.0076859432737668276,0.14430750636460157,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.22000000000000003,-4.590909090909089,0.0,0.0,0.0
