Date,Season,Season_Time,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
2020-07-25,2020,WNBA,13:00,New York Liberty F,Seattle Storm F,71.0,87.0,9.5,1.07,153.5,1.9,1.9,10.5,1.9,1.9
2020-07-25,2020,WNBA,16:00,Phoenix Mercury F,Los Angeles Sparks F,76.0,99.0,2.45,1.6,151.5,1.9,1.9,2.5,1.95,1.86
2020-07-25,2020,WNBA,18:00,Washington Mystics F,Indiana Fever F,101.0,76.0,2.0,1.83,157.5,1.9,1.9,-2.0,1.9,1.9
2020-07-26,2020,WNBA,18:00,Atlanta Dream F,Dallas Wings F,105.0,95.0,2.85,1.44,150.5,1.8,2.05,2.5,1.9,1.9
2020-07-26,2020,WNBA,13:00,Minnesota Lynx F,Connecticut Sun F,77.0,69.0,2.2,1.71,155.0,1.8,2.01,2.0,1.95,1.86
2020-07-26,2020,WNBA,16:00,Las Vegas Aces F,Chicago Sky F,86.0,88.0,2.35,1.64,174.0,1.9,1.9,-3.5,2.0,1.83
2020-07-28,2020,WNBA,20:00,Connecticut Sun F,Washington Mystics F,89.0,94.0,2.3,1.66,166.0,1.81,2.0,2.5,1.95,1.85
2020-07-28,2020,WNBA,22:00,Chicago Sky F,Los Angeles Sparks F,96.0,78.0,2.9,1.43,170.5,1.9,1.9,3.5,1.9,1.9
2020-07-28,2020,WNBA,23:00,Seattle Storm F,Minnesota Lynx F,90.0,66.0,1.22,4.5,154.0,1.9,1.9,-10.5,1.98,1.83
2020-07-29,2020,WNBA,20:00,Indiana Fever F,Phoenix Mercury F,106.0,100.0,2.8,1.45,160.0,1.9,1.9,4.0,1.9,1.9
2020-07-29,2020,WNBA,21:00,Dallas Wings F,New York Liberty F,93.0,80.0,1.47,2.75,162.0,1.9,1.9,-5.5,1.95,1.86
2020-07-29,2020,WNBA,23:00,Las Vegas Aces F,Atlanta Dream F,100.0,70.0,1.26,4.0,174.5,1.9,1.9,-9.5,1.9,1.9
