Date,Season,Season_Time,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
2019-06-07,2019,WNBA,20:00,Indiana Fever F,Dallas Wings F,79.0,64.0,1.41,3.0,153.0,1.83,1.98,-6.0,1.95,1.86
2019-06-07,2019,WNBA,20:30,New York Liberty F,Washington Mystics F,85.0,94.0,4.75,1.2,164.5,1.82,1.99,8.5,1.95,1.86
2019-06-08,2019,WNBA,16:30,Minnesota Lynx F,Los Angeles Sparks F,85.0,89.0,1.5,2.7,148.0,1.9,1.9,-5.0,1.95,1.86
2019-06-09,2019,WNBA,16:00,Washington Mystics F,Dallas Wings F,86.0,62.0,1.07,9.5,156.5,1.8,1.99,-14.5,1.9,1.9
2019-06-09,2019,WNBA,16:00,New York Liberty F,Las Vegas Aces F,88.0,78.0,6.0,1.14,161.5,1.9,1.9,10.0,1.95,1.86
2019-06-09,2019,WNBA,16:00,Atlanta Dream F,Connecticut Sun F,59.0,65.0,3.35,1.34,159.0,1.81,2.02,5.5,1.95,1.86
2019-06-09,2019,WNBA,17:00,Indiana Fever F,Phoenix Mercury F,87.0,94.0,2.35,1.64,152.0,1.8,2.01,0.0,1.95,1.85
2019-06-09,2019,WNBA,19:00,Chicago Sky F,Seattle Storm F,78.0,71.0,2.1,1.76,162.5,1.9,1.9,-1.5,1.95,1.86
2019-06-11,2019,WNBA,21:00,Chicago Sky F,Phoenix Mercury F,82.0,75.0,2.65,1.54,164.5,1.9,1.9,4.0,1.9,1.9
2019-06-11,2019,WNBA,20:00,Indiana Fever F,Seattle Storm F,82.0,84.0,1.83,2.0,155.5,1.8,1.99,-3.0,1.9,1.9
2019-06-11,2019,WNBA,20:00,Connecticut Sun F,Washington Mystics F,83.0,75.0,1.6,2.45,160.0,1.83,1.98,-5.0,1.9,1.9
2019-06-12,2019,WNBA,20:00,New York Liberty F,Minnesota Lynx F,75.0,69.0,2.35,1.64,153.0,1.9,1.9,2.5,2.0,1.83
2019-06-13,2019,WNBA,21:00,Dallas Wings F,Indiana Fever F,72.0,76.0,2.3,1.66,149.5,1.83,1.98,2.0,1.99,1.82
2019-06-14,2019,WNBA,20:00,Washington Mystics F,Seattle Storm F,71.0,74.0,1.2,4.75,158.0,1.9,1.9,-10.0,1.97,1.85
2019-06-14,2019,WNBA,21:00,Minnesota Lynx F,Connecticut Sun F,81.0,85.0,3.1,1.4,150.0,1.8,2.01,5.5,1.95,1.86
2019-06-14,2019,WNBA,23:00,Phoenix Mercury F,Los Angeles Sparks F,68.0,85.0,1.6,2.45,152.5,1.8,1.97,-4.0,1.99,1.84
2019-06-14,2019,WNBA,23:30,Las Vegas Aces F,New York Liberty F,100.0,65.0,1.1,7.5,165.0,1.9,1.9,-13.5,1.97,1.85
2019-06-15,2019,WNBA,20:00,Indiana Fever F,Chicago Sky F,64.0,70.0,1.58,2.5,150.5,1.81,2.0,-4.0,1.95,1.86
2019-06-15,2019,WNBA,21:00,Dallas Wings F,Atlanta Dream F,71.0,61.0,2.5,1.58,145.0,1.9,1.9,3.0,1.95,1.86
2019-06-15,2019,WNBA,23:00,Los Angeles Sparks F,New York Liberty F,92.0,98.0,1.14,6.0,155.5,1.82,1.97,-13.5,1.9,1.9
2019-06-16,2019,WNBA,16:30,Connecticut Sun F,Seattle Storm F,81.0,67.0,1.2,4.75,153.5,1.9,1.9,-9.5,1.97,1.87
2019-06-16,2019,WNBA,20:00,Minnesota Lynx F,Las Vegas Aces F,75.0,80.0,3.15,1.38,159.5,1.9,1.9,5.5,1.95,1.86
2019-06-18,2019,WNBA,23:30,Los Angeles Sparks F,Washington Mystics F,52.0,81.0,1.8,2.05,156.5,1.81,2.0,-3.0,1.9,1.9
2019-06-19,2019,WNBA,20:00,New York Liberty F,Chicago Sky F,83.0,91.0,1.76,2.1,163.0,1.8,2.01,-2.0,1.95,1.86
2019-06-19,2019,WNBA,12:00,Atlanta Dream F,Indiana Fever F,88.0,78.0,1.86,1.95,146.5,1.9,1.9,-1.5,1.9,1.9
2019-06-20,2019,WNBA,21:00,Dallas Wings F,Phoenix Mercury F,69.0,54.0,3.25,1.36,144.5,1.9,1.9,5.0,1.9,1.9
2019-06-20,2019,WNBA,23:00,Las Vegas Aces F,Washington Mystics F,72.0,95.0,1.58,2.5,163.5,1.9,1.9,-5.5,1.9,1.9
2019-06-21,2019,WNBA,23:30,Seattle Storm F,Los Angeles Sparks F,84.0,62.0,2.05,1.8,152.5,1.8,1.99,-1.0,1.9,1.9
2019-06-21,2019,WNBA,20:30,Connecticut Sun F,Atlanta Dream F,86.0,76.0,1.1,7.5,151.5,1.9,1.9,-13.0,1.97,1.85
2019-06-21,2019,WNBA,21:00,Chicago Sky F,Indiana Fever F,69.0,76.0,1.5,2.7,161.5,1.83,1.98,-5.0,1.95,1.86
2019-06-22,2019,WNBA,21:00,Minnesota Lynx F,New York Liberty F,92.0,83.0,1.25,4.2,155.5,1.8,2.01,-9.0,1.96,1.86
2019-06-22,2019,WNBA,23:30,Las Vegas Aces F,Dallas Wings F,86.0,68.0,1.07,9.5,151.5,1.9,1.9,-14.5,1.9,1.9
2019-06-23,2019,WNBA,14:00,Atlanta Dream F,Washington Mystics F,73.0,89.0,4.75,1.2,155.0,1.81,2.0,8.5,1.9,1.9
2019-06-23,2019,WNBA,19:00,Phoenix Mercury F,Los Angeles Sparks F,82.0,72.0,2.0,1.83,151.5,1.81,1.95,-1.0,1.95,1.86
2019-06-23,2019,WNBA,19:00,Chicago Sky F,Connecticut Sun F,93.0,75.0,2.8,1.45,159.5,1.9,1.9,4.5,1.9,1.9
2019-06-23,2019,WNBA,20:00,Seattle Storm F,Indiana Fever F,65.0,61.0,1.37,3.2,151.5,1.84,1.99,-7.0,1.99,1.84
2019-06-25,2019,WNBA,20:00,Indiana Fever F,Minnesota Lynx F,74.0,78.0,2.3,1.66,150.5,1.9,1.9,-1.0,1.95,1.86
2019-06-25,2019,WNBA,23:00,Las Vegas Aces F,Seattle Storm F,60.0,56.0,1.36,3.25,156.0,1.9,1.9,-8.0,1.9,1.9
2019-06-26,2019,WNBA,13:00,Chicago Sky F,Washington Mystics F,74.0,81.0,3.15,1.38,163.5,1.8,2.01,5.0,1.95,1.86
2019-06-26,2019,WNBA,21:00,Dallas Wings F,Connecticut Sun F,74.0,73.0,4.5,1.22,147.0,1.9,1.9,8.5,1.95,1.86
2019-06-27,2019,WNBA,23:30,Los Angeles Sparks F,Las Vegas Aces F,86.0,74.0,2.1,1.76,157.5,1.9,1.9,0.0,1.97,1.87
2019-06-28,2019,WNBA,23:00,Phoenix Mercury F,Indiana Fever F,91.0,69.0,1.43,2.9,151.0,1.9,1.9,-6.0,2.0,1.81
2019-06-28,2019,WNBA,20:30,New York Liberty F,Dallas Wings F,69.0,68.0,1.5,2.7,152.5,1.82,1.97,-4.5,1.94,1.88
2019-06-28,2019,WNBA,23:00,Seattle Storm F,Chicago Sky F,79.0,76.0,1.64,2.35,151.5,1.83,1.95,-3.5,1.95,1.86
2019-06-29,2019,WNBA,15:00,Washington Mystics F,Connecticut Sun F,102.0,59.0,1.3,3.65,159.5,1.9,1.9,-8.0,1.9,1.9
2019-06-29,2019,WNBA,23:30,Las Vegas Aces F,Indiana Fever F,102.0,97.0,1.07,9.0,158.0,1.9,1.9,-13.5,1.9,1.9
2019-06-30,2019,WNBA,16:00,Atlanta Dream F,New York Liberty F,58.0,74.0,1.54,2.65,158.5,1.9,1.9,-4.5,1.99,1.82
2019-06-30,2019,WNBA,17:00,Dallas Wings F,Minnesota Lynx F,89.0,86.0,2.35,1.64,144.5,1.9,1.9,2.5,1.9,1.9
2019-06-30,2019,WNBA,18:00,Los Angeles Sparks F,Chicago Sky F,94.0,69.0,1.4,3.1,155.5,1.8,2.05,-7.5,1.86,1.95
2019-06-30,2019,WNBA,20:00,Seattle Storm F,Phoenix Mercury F,67.0,69.0,1.83,2.0,148.5,1.84,1.99,-1.5,1.9,1.9
2019-07-02,2019,WNBA,16:00,Las Vegas Aces F,Chicago Sky F,90.0,82.0,1.22,4.5,159.0,1.9,1.9,-9.5,1.99,1.82
2019-07-02,2019,WNBA,21:00,Minnesota Lynx F,Atlanta Dream F,85.0,68.0,1.28,3.75,150.5,1.82,1.97,-8.5,2.0,1.81
2019-07-03,2019,WNBA,16:00,Seattle Storm F,New York Liberty F,83.0,84.0,1.34,3.35,149.0,1.8,2.01,-7.5,1.9,1.9
2019-07-05,2019,WNBA,23:00,Phoenix Mercury F,New York Liberty F,76.0,80.0,1.31,3.6,152.5,1.83,1.98,-7.5,1.95,1.86
