Date,Season,Season_Time,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
2021-05-14,2021,WNBA,20:00,New York Liberty F,Indiana Fever F,90.0,87.0,2.15,1.74,157.0,1.9,1.9,-3.5,1.9,1.9
2021-05-14,2021,WNBA,23:30,Los Angeles Sparks F,Dallas Wings F,71.0,94.0,1.38,3.15,163.0,1.9,1.9,-6.5,1.95,1.85
2021-05-14,2021,WNBA,20:30,Atlanta Dream F,Connecticut Sun F,67.0,78.0,2.2,1.71,162.0,1.82,1.97,2.5,1.9,1.9
2021-05-14,2021,WNBA,22:00,Minnesota Lynx F,Phoenix Mercury F,75.0,77.0,1.86,1.95,162.5,1.9,1.9,-2.0,1.9,1.9
2021-05-15,2021,WNBA,14:00,Washington Mystics F,Chicago Sky F,56.0,70.0,2.2,1.71,164.5,1.83,1.97,-3.0,1.9,1.9
2021-05-15,2021,WNBA,16:00,Seattle Storm F,Las Vegas Aces F,97.0,83.0,1.95,1.86,165.0,1.8,1.99,-2.5,1.95,1.86
2021-05-16,2021,WNBA,15:00,Indiana Fever F,New York Liberty F,65.0,73.0,1.41,3.0,163.5,1.9,1.9,-6.5,2.0,1.81
2021-05-16,2021,WNBA,20:00,Connecticut Sun F,Phoenix Mercury F,86.0,78.0,1.86,1.95,160.5,1.81,1.98,-2.5,1.9,1.9
2021-05-18,2021,WNBA,20:00,New York Liberty F,Minnesota Lynx F,86.0,75.0,2.7,1.5,154.5,1.9,1.9,2.5,1.9,1.9
2021-05-18,2021,WNBA,21:00,Washington Mystics F,Phoenix Mercury F,70.0,91.0,2.45,1.6,162.0,1.81,2.02,2.5,1.95,1.86
2021-05-18,2021,WNBA,23:00,Seattle Storm F,Las Vegas Aces F,80.0,96.0,1.8,2.05,166.5,1.8,1.97,-2.5,1.99,1.8
2021-05-19,2021,WNBA,20:00,Connecticut Sun F,Indiana Fever F,88.0,67.0,1.32,3.5,160.5,1.83,1.98,-8.0,1.99,1.8
2021-05-19,2021,WNBA,20:00,Atlanta Dream F,Chicago Sky F,77.0,85.0,2.55,1.57,160.0,1.9,1.9,3.0,1.97,1.83
2021-05-20,2021,WNBA,21:00,Minnesota Lynx F,Seattle Storm F,78.0,90.0,2.67,1.52,162.5,1.9,1.9,4.0,2.0,1.83
2021-05-21,2021,WNBA,23:30,Las Vegas Aces F,Los Angeles Sparks F,97.0,69.0,1.23,4.25,167.5,1.83,1.98,-9.5,1.9,1.9
2021-05-21,2021,WNBA,20:00,Washington Mystics F,New York Liberty F,101.0,72.0,1.64,2.35,66.5,1.81,1.93,-3.5,1.9,1.9
2021-05-21,2021,WNBA,20:00,Indiana Fever F,Atlanta Dream F,79.0,83.0,1.74,2.15,160.5,1.9,1.9,-4.0,1.95,1.86
2021-05-21,2021,WNBA,23:00,Phoenix Mercury F,Connecticut Sun F,67.0,84.0,1.66,2.3,161.0,1.83,1.98,-3.5,1.97,1.85
2021-05-22,2021,WNBA,21:00,Dallas Wings F,Seattle Storm F,97.0,100.0,3.6,1.31,167.5,1.9,1.9,6.0,1.95,1.86
2021-05-23,2021,WNBA,14:00,Indiana Fever F,Washington Mystics F,89.0,77.0,2.25,1.68,160.0,1.8,1.99,0.0,1.92,1.92
2021-05-23,2021,WNBA,14:00,Chicago Sky F,New York Liberty F,85.0,93.0,1.37,3.2,162.0,1.9,1.9,-6.5,1.9,1.9
2021-05-23,2021,WNBA,19:00,Las Vegas Aces F,Connecticut Sun F,65.0,72.0,1.4,3.05,161.5,1.9,1.9,-6.5,1.96,1.86
2021-05-24,2021,WNBA,20:00,New York Liberty F,Dallas Wings F,88.0,81.0,1.9,1.9,167.0,1.9,1.9,-1.5,1.9,1.9
2021-05-25,2021,WNBA,20:00,Indiana Fever F,Washington Mystics F,69.0,85.0,2.2,1.71,160.0,1.82,1.99,0.0,1.92,1.92
2021-05-25,2021,WNBA,21:00,Chicago Sky F,Atlanta Dream F,83.0,90.0,1.37,3.2,165.5,1.9,1.9,-7.0,1.95,1.86
2021-05-25,2021,WNBA,23:00,Seattle Storm F,Connecticut Sun F,90.0,87.0,1.6,2.45,161.0,1.82,1.99,-3.5,1.9,1.9
2021-05-26,2021,WNBA,23:00,Phoenix Mercury F,Las Vegas Aces F,79.0,85.0,3.1,1.4,165.5,1.8,1.97,6.0,1.95,1.86
2021-05-27,2021,WNBA,20:00,Atlanta Dream F,Dallas Wings F,101.0,95.0,1.95,1.86,166.5,1.9,1.9,1.0,1.9,1.9
2021-05-28,2021,WNBA,21:00,Chicago Sky F,Los Angeles Sparks F,61.0,76.0,1.55,2.6,167.5,1.9,1.9,-4.5,1.98,1.83
2021-05-28,2021,WNBA,23:30,Las Vegas Aces F,Indiana Fever F,113.0,77.0,1.15,5.75,165.0,1.81,2.0,-12.0,1.98,1.83
2021-05-28,2021,WNBA,20:00,Connecticut Sun F,Washington Mystics F,86.0,81.0,1.29,3.7,154.5,1.8,1.99,-8.0,1.95,1.89
2021-05-28,2021,WNBA,23:00,Seattle Storm F,Minnesota Lynx F,82.0,72.0,1.41,3.0,165.5,1.9,1.9,-7.0,1.9,1.9
