Date,Season,Season_Time,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
2022-05-06,2022,WNBA,20:00,Washington Mystics F,Indiana Fever F,84.0,70.0,1.23,4.25,161.5,1.9,1.9,-9.5,1.98,1.83
2022-05-06,2022,WNBA,23:00,Phoenix Mercury F,Las Vegas Aces F,88.0,106.0,2.7,1.5,172.0,1.9,1.9,2.0,1.9,1.9
2022-05-06,2022,WNBA,21:00,Chicago Sky F,Los Angeles Sparks F,91.0,98.0,1.62,2.4,154.0,1.8,2.01,-5.0,1.9,1.9
2022-05-06,2022,WNBA,23:00,Seattle Storm F,Minnesota Lynx F,97.0,74.0,1.23,4.25,160.5,1.83,1.95,-9.5,1.95,1.87
2022-05-07,2022,WNBA,19:00,New York Liberty F,Connecticut Sun F,81.0,79.0,3.1,1.4,158.0,1.9,1.9,5.5,1.9,1.9
2022-05-07,2022,WNBA,21:00,Dallas Wings F,Atlanta Dream F,59.0,66.0,1.26,4.0,160.5,1.9,1.9,-8.5,1.9,1.9
2022-05-08,2022,WNBA,23:00,Las Vegas Aces F,Seattle Storm F,85.0,74.0,1.5,2.7,175.5,1.9,1.9,-5.5,1.9,1.9
2022-05-08,2022,WNBA,16:00,Indiana Fever F,Los Angeles Sparks F,77.0,87.0,3.4,1.33,155.0,1.9,1.9,5.0,1.9,1.9
2022-05-08,2022,WNBA,21:00,Minnesota Lynx F,Washington Mystics F,66.0,78.0,1.66,2.3,158.5,1.8,1.95,-4.0,1.9,1.9
2022-05-10,2022,WNBA,20:00,Washington Mystics F,Las Vegas Aces F,89.0,76.0,2.75,1.47,163.5,1.9,1.9,4.5,1.9,1.9
2022-05-10,2022,WNBA,20:00,Indiana Fever F,Minnesota Lynx F,82.0,76.0,2.35,1.64,157.0,1.82,1.97,2.5,2.0,1.83
2022-05-11,2022,WNBA,20:00,Atlanta Dream F,Los Angeles Sparks F,77.0,75.0,2.8,1.45,160.5,1.83,2.0,2.5,1.9,1.9
2022-05-11,2022,WNBA,21:00,Chicago Sky F,New York Liberty F,83.0,50.0,1.47,2.75,164.0,1.82,1.99,-5.5,1.98,1.83
2022-05-11,2022,WNBA,23:00,Phoenix Mercury F,Seattle Storm F,97.0,77.0,1.83,2.0,161.0,1.9,1.9,-1.5,1.9,1.9
2022-05-13,2022,WNBA,20:00,Washington Mystics F,Dallas Wings F,86.0,94.0,1.27,3.8,154.5,1.9,1.9,-8.0,1.9,1.9
2022-05-13,2022,WNBA,20:30,Atlanta Dream F,Las Vegas Aces F,73.0,96.0,4.1,1.25,166.5,1.84,1.99,6.0,1.9,1.9
2022-05-13,2022,WNBA,21:00,New York Liberty F,Indiana Fever F,86.0,92.0,1.35,3.3,158.0,1.83,1.98,-6.5,1.9,1.9
2022-05-14,2022,WNBA,21:00,Minnesota Lynx F,Chicago Sky F,78.0,82.0,3.9,1.27,159.5,1.84,1.94,7.5,1.97,1.85
2022-05-14,2022,WNBA,16:00,Seattle Storm F,Phoenix Mercury F,64.0,69.0,2.15,1.74,161.0,1.81,1.98,1.5,2.0,1.81
2022-05-14,2022,WNBA,20:00,Connecticut Sun F,Los Angeles Sparks F,77.0,60.0,1.29,3.7,157.0,1.82,1.97,-8.0,1.9,1.9
2022-05-15,2022,WNBA,15:00,New York Liberty F,Dallas Wings F,71.0,81.0,1.76,2.1,162.5,1.9,1.9,-2.0,1.9,1.9
2022-05-15,2022,WNBA,16:00,Indiana Fever F,Atlanta Dream F,79.0,85.0,1.76,2.1,156.0,1.82,1.99,-2.5,1.96,1.86
2022-05-17,2022,WNBA,20:00,New York Liberty F,Connecticut Sun F,65.0,92.0,4.25,1.23,153.5,1.8,2.01,7.0,1.9,1.9
2022-05-17,2022,WNBA,20:00,Indiana Fever F,Atlanta Dream F,79.0,101.0,1.9,1.9,158.0,1.8,2.01,-1.0,1.95,1.86
2022-05-17,2022,WNBA,21:00,Dallas Wings F,Washington Mystics F,68.0,84.0,2.35,1.64,159.5,1.9,1.9,1.5,1.9,1.9
2022-05-17,2022,WNBA,23:00,Las Vegas Aces F,Phoenix Mercury F,86.0,74.0,1.27,3.8,169.5,1.84,1.97,-8.5,1.96,1.86
2022-05-17,2022,WNBA,23:30,Los Angeles Sparks F,Minnesota Lynx F,84.0,87.0,1.3,3.65,159.0,1.82,1.97,-9.0,1.9,1.9
2022-05-18,2022,WNBA,23:00,Seattle Storm F,Chicago Sky F,74.0,71.0,1.86,1.95,157.0,1.9,1.9,-4.5,1.9,1.9
2022-05-19,2022,WNBA,23:00,Phoenix Mercury F,Dallas Wings F,84.0,94.0,1.71,2.2,158.5,1.8,1.95,-5.0,1.9,1.9
2022-05-19,2022,WNBA,23:00,Las Vegas Aces F,Minnesota Lynx F,93.0,87.0,1.16,5.5,167.5,1.9,1.9,-12.5,1.9,1.9
2022-05-20,2022,WNBA,23:00,Seattle Storm F,Los Angeles Sparks F,83.0,80.0,1.29,3.7,157.0,1.9,1.9,-8.0,1.9,1.9
2022-05-20,2022,WNBA,20:00,Connecticut Sun F,Indiana Fever F,94.0,85.0,1.08,8.5,155.0,1.83,1.95,-17.0,1.98,1.81
2022-05-20,2022,WNBA,20:30,Atlanta Dream F,Washington Mystics F,73.0,78.0,2.0,1.83,157.0,1.82,1.99,-1.5,1.9,1.9
2022-05-21,2022,WNBA,21:00,Dallas Wings F,Minnesota Lynx F,94.0,78.0,1.74,2.15,163.0,1.83,1.98,-5.0,1.9,1.9
2022-05-21,2022,WNBA,16:00,Las Vegas Aces F,Phoenix Mercury F,100.0,80.0,1.18,5.25,167.0,1.9,1.9,-11.5,2.0,1.83
2022-05-22,2022,WNBA,15:00,Indiana Fever F,Connecticut Sun F,70.0,92.0,6.75,1.11,160.5,1.9,1.9,12.0,1.9,1.9
2022-05-22,2022,WNBA,16:00,Washington Mystics F,Chicago Sky F,73.0,82.0,1.8,2.05,157.5,1.9,1.9,-2.0,1.93,1.83
2022-05-23,2022,WNBA,23:00,Las Vegas Aces F,Los Angeles Sparks F,104.0,76.0,0.0,0.0,168.5,1.9,1.9,-11.0,2.0,1.83
2022-05-24,2022,WNBA,20:00,Washington Mystics F,Atlanta Dream F,70.0,50.0,1.25,4.2,156.0,1.8,2.01,-8.5,1.9,1.9
2022-05-24,2022,WNBA,20:00,Connecticut Sun F,Dallas Wings F,77.0,85.0,1.27,3.8,158.5,1.9,1.9,-8.5,1.9,1.9
2022-05-24,2022,WNBA,21:00,Minnesota Lynx F,New York Liberty F,84.0,78.0,1.47,2.75,160.0,1.83,1.95,-6.0,1.9,1.9
2022-05-24,2022,WNBA,21:00,Chicago Sky F,Indiana Fever F,95.0,90.0,0.0,0.0,161.5,1.84,1.99,-14.0,1.99,1.83
2022-05-25,2022,WNBA,23:30,Los Angeles Sparks F,Phoenix Mercury F,99.0,94.0,0.0,0.0,163.5,1.84,1.94,-3.0,1.96,1.84
2022-05-26,2022,WNBA,20:00,Connecticut Sun F,Dallas Wings F,99.0,68.0,1.26,4.0,159.0,1.9,1.9,-9.0,2.0,1.83
2022-05-27,2022,WNBA,23:00,Seattle Storm F,New York Liberty F,79.0,71.0,1.18,5.25,155.0,1.83,1.99,-13.0,1.9,1.9
2022-05-27,2022,WNBA,20:00,Indiana Fever F,Los Angeles Sparks F,101.0,96.0,3.15,1.38,163.5,1.9,1.9,5.5,1.95,1.87
2022-05-28,2022,WNBA,20:00,Connecticut Sun F,Washington Mystics F,79.0,71.0,1.19,5.0,153.5,1.83,1.97,-10.5,1.99,1.82
2022-05-28,2022,WNBA,16:00,Chicago Sky F,Las Vegas Aces F,76.0,83.0,1.95,1.86,168.5,1.9,1.9,1.0,1.9,1.9
2022-05-29,2022,WNBA,13:00,Atlanta Dream F,Phoenix Mercury F,81.0,54.0,2.05,1.8,161.5,1.8,1.99,1.0,1.9,1.9
2022-05-29,2022,WNBA,19:00,Seattle Storm F,New York Liberty F,92.0,61.0,1.28,3.75,151.0,1.82,1.97,-8.5,1.9,1.9
2022-05-29,2022,WNBA,20:00,Minnesota Lynx F,Los Angeles Sparks F,83.0,85.0,1.74,2.15,167.5,1.82,1.97,-2.5,2.0,1.83
2022-05-31,2022,WNBA,20:00,Indiana Fever F,Washington Mystics F,75.0,87.0,3.7,1.29,162.0,1.9,1.9,6.5,1.98,1.83
2022-05-31,2022,WNBA,20:00,Chicago Sky F,Phoenix Mercury F,73.0,70.0,1.25,4.2,163.0,1.9,1.9,-9.5,1.98,1.83
2022-05-31,2022,WNBA,22:00,Las Vegas Aces F,Connecticut Sun F,89.0,81.0,1.54,2.65,166.5,1.83,1.98,-4.5,1.9,1.9
2022-05-31,2022,WNBA,23:30,Los Angeles Sparks F,Dallas Wings F,93.0,91.0,1.95,1.86,165.5,1.9,1.9,-3.0,1.9,1.9
2022-06-01,2022,WNBA,20:00,New York Liberty F,Indiana Fever F,87.0,74.0,1.5,2.7,162.0,1.81,2.0,-5.5,1.9,1.9
2022-06-01,2022,WNBA,20:00,Atlanta Dream F,Minnesota Lynx F,84.0,76.0,1.54,2.65,156.0,1.9,1.9,-5.5,1.98,1.83
2022-06-02,2022,WNBA,23:00,Las Vegas Aces F,Connecticut Sun F,90.0,97.0,1.45,2.8,167.5,1.9,1.9,-5.0,1.9,1.9
2022-06-03,2022,WNBA,23:00,Phoenix Mercury F,Connecticut Sun F,88.0,92.0,0.0,0.0,162.0,1.9,1.9,4.5,1.9,1.9
2022-06-03,2022,WNBA,23:00,Seattle Storm F,Dallas Wings F,51.0,68.0,1.38,3.15,159.0,1.8,1.95,-7.5,1.9,1.9
2022-06-03,2022,WNBA,20:30,Atlanta Dream F,Chicago Sky F,65.0,73.0,2.55,1.57,155.5,1.9,1.9,2.0,1.9,1.9
2022-06-03,2022,WNBA,20:00,Washington Mystics F,New York Liberty F,70.0,74.0,1.13,6.25,153.0,1.8,1.95,-13.0,2.0,1.71
2022-06-05,2022,WNBA,15:00,New York Liberty F,Minnesota Lynx F,77.0,84.0,1.68,2.25,156.0,1.9,1.9,-3.5,1.9,1.9
2022-06-05,2022,WNBA,16:00,Atlanta Dream F,Indiana Fever F,75.0,66.0,0.0,0.0,158.0,1.81,2.0,-7.5,1.9,1.9
2022-06-05,2022,WNBA,19:00,Seattle Storm F,Connecticut Sun F,86.0,93.0,0.0,0.0,153.5,1.8,1.97,-4.0,1.94,1.88
2022-06-05,2022,WNBA,19:00,Phoenix Mercury F,Los Angeles Sparks F,81.0,74.0,2.3,1.66,169.5,1.9,1.9,-1.0,1.95,1.86
2022-06-05,2022,WNBA,19:00,Las Vegas Aces F,Dallas Wings F,84.0,78.0,1.26,4.0,167.5,1.9,1.9,-9.0,1.9,1.9
2022-06-05,2022,WNBA,19:00,Chicago Sky F,Washington Mystics F,91.0,82.0,0.0,0.0,153.5,1.9,1.9,-9.5,1.9,1.9
2022-06-07,2022,WNBA,21:00,New York Liberty F,Minnesota Lynx F,88.0,69.0,1.71,2.2,158.5,1.8,1.95,-3.5,2.0,1.77
2022-06-07,2022,WNBA,23:00,Seattle Storm F,Atlanta Dream F,72.0,60.0,0.0,0.0,149.5,1.9,1.9,-9.0,2.0,1.71
2022-06-08,2022,WNBA,20:00,Connecticut Sun F,Indiana Fever F,88.0,69.0,0.0,0.0,159.5,1.9,1.9,-15.5,1.9,1.9
2022-06-08,2022,WNBA,21:00,Washington Mystics F,Chicago Sky F,84.0,82.0,1.58,2.5,154.5,1.9,1.9,-4.5,1.99,1.8
2022-06-10,2022,WNBA,23:00,Phoenix Mercury F,Atlanta Dream F,90.0,88.0,1.55,2.6,153.0,1.9,1.9,-4.5,1.9,1.9
2022-06-10,2022,WNBA,21:00,Dallas Wings F,Seattle Storm F,88.0,89.0,0.0,0.0,152.0,1.81,2.0,2.0,1.95,1.86
2022-06-10,2022,WNBA,20:00,Connecticut Sun F,Chicago Sky F,79.0,83.0,1.38,3.15,161.5,1.9,1.9,-6.5,1.96,1.88
2022-06-10,2022,WNBA,20:00,Indiana Fever F,New York Liberty F,83.0,97.0,2.05,1.8,158.5,1.9,1.9,1.0,1.97,1.85
2022-06-10,2022,WNBA,21:00,Minnesota Lynx F,Washington Mystics F,59.0,76.0,3.7,1.29,156.5,1.8,1.99,6.5,1.9,1.9
2022-06-11,2022,WNBA,22:00,Los Angeles Sparks F,Las Vegas Aces F,72.0,89.0,3.4,1.33,173.5,1.9,1.9,6.0,1.97,1.85
2022-06-12,2022,WNBA,15:00,New York Liberty F,Chicago Sky F,86.0,88.0,3.4,1.33,157.5,1.83,1.98,6.5,1.95,1.89
2022-06-12,2022,WNBA,17:00,Dallas Wings F,Seattle Storm F,79.0,84.0,2.45,1.6,156.0,1.82,1.99,3.0,1.98,1.83
2022-06-12,2022,WNBA,19:00,Washington Mystics F,Phoenix Mercury F,90.0,99.0,1.36,3.25,159.5,1.83,1.98,-8.0,1.9,1.9
2022-06-12,2022,WNBA,20:00,Minnesota Lynx F,Indiana Fever F,80.0,84.0,1.76,2.1,165.0,1.9,1.9,-2.5,1.99,1.82
2022-06-14,2022,WNBA,20:00,Washington Mystics F,Phoenix Mercury F,83.0,65.0,1.26,4.0,160.5,1.84,1.94,-9.0,1.99,1.82
2022-06-14,2022,WNBA,22:00,Minnesota Lynx F,Seattle Storm F,79.0,81.0,3.7,1.29,155.5,1.81,1.95,5.5,1.9,1.9
2022-06-15,2022,WNBA,14:00,Dallas Wings F,Las Vegas Aces F,84.0,92.0,4.25,1.23,171.5,1.9,1.9,8.0,1.9,1.9
2022-06-15,2022,WNBA,20:00,Indiana Fever F,Phoenix Mercury F,80.0,93.0,1.86,1.95,167.5,1.8,1.99,-1.5,1.9,1.9
2022-06-15,2022,WNBA,20:00,Connecticut Sun F,Atlanta Dream F,105.0,92.0,1.2,4.75,154.5,1.9,1.9,-11.0,1.99,1.84
2022-06-16,2022,WNBA,20:00,New York Liberty F,Washington Mystics F,77.0,65.0,2.6,1.55,156.0,1.9,1.9,3.5,1.97,1.85
