Date,Season,Season_Time,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
2023-05-05,2023,WNBA - PRÉ-TEMPORADA,21:00,Minnesota Lynx F,Washington Mystics F,72.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,2023,WNBA - PRÉ-TEMPORADA,21:00,Dallas Wings F,Chicago Sky F,75.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-07,2023,WNBA - PRÉ-TEMPORADA,19:00,Chicago Sky F,Indiana Fever F,81.0,56.0,1.28,3.8,154.25,1.82,1.95,-9.5,2.0,1.72
2023-05-08,2023,WNBA - PRÉ-TEMPORADA,23:00,Seattle Storm F,Phoenix Mercury F,71.0,77.0,2.25,1.69,156.0,1.85,1.91,1.0,1.94,1.82
2023-05-10,2023,WNBA - PRÉ-TEMPORADA,12:30,Washington Mystics F,Atlanta Dream F,88.0,76.0,1.52,2.67,156.5,1.91,1.91,-5.5,1.95,1.73
2023-05-10,2023,WNBA - PRÉ-TEMPORADA,12:00,Connecticut Sun F,New York Liberty F,63.0,57.0,2.05,1.65,158.5,1.83,1.83,1.5,1.95,1.73
2023-05-12,2023,WNBA - PRÉ-TEMPORADA,23:00,Phoenix Mercury F,Los Angeles Sparks F,71.0,90.0,1.52,2.67,156.75,1.83,1.97,-5.5,1.9,1.88
2023-05-13,2023,WNBA - PRÉ-TEMPORADA,14:00,Indiana Fever F,Dallas Wings F,90.0,83.0,2.9,1.43,153.5,1.82,1.92,-4.5,1.91,1.93
2023-05-13,2023,WNBA - PRÉ-TEMPORADA,17:00,Minnesota Lynx F,Chicago Sky F,74.0,82.0,1.83,2.0,155.5,1.91,1.91,-2.5,1.9,1.81
2023-05-13,2023,WNBA - PRÉ-TEMPORADA,18:00,Las Vegas Aces F,New York Liberty F,84.0,77.0,1.61,2.45,155.0,1.8,1.97,-4.0,2.0,1.74
2023-05-14,2023,WNBA - PRÉ-TEMPORADA,16:00,Atlanta Dream F,Connecticut Sun F,68.0,85.0,2.3,1.67,157.75,1.86,1.9,2.5,1.95,1.87
2023-05-19,2023,WNBA,20:00,Washington Mystics F,New York Liberty F,80.0,64.0,2.2,1.71,162.0,1.91,1.91,2.0,1.95,1.81
2023-05-19,2023,WNBA,20:00,Indiana Fever F,Connecticut Sun F,61.0,70.0,3.6,1.31,159.0,1.91,1.91,7.0,1.91,1.91
