Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Porc_Over_Home,Porc_Over_Away,CustoGolHome,CustoGolAway,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_CG_A,DP_CG_A,CV_CG_A,MediaCustoGolHome,MediaCustoGolAway,Last_CG_H,Last_CG_A,Acima_Last_CG_H,Acima_Last_CG_A,Abaixo_Last_CG_H,Abaixo_Last_CG_A,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA,prediction_label,prediction_score
2024-03-21,Eua Nba,21:00,Houston Rockets,Chicago Bulls,1.71,1.98,212.5,1.83,1.97,-3.5,2.01,2.53,boe6K0f7,0.5847953,0.5050505,0.5464481,0.5076142,0.08984583,0.2,0.8,,,206.842,47.69815,0.23060186,302.528,106.87617,0.35327694,244.264,359.1,265.1,477.5,0.0,0.0,0.0,0.0,0.10347904,0.052102607,0.1619804,1.38,0.276,2.5724638,0.47565934,0.5,0.024340661,3.21,0.642,1.5264797,0.41638446,0.5,0.08361556,1,1.0
2024-03-21,Europa Euroliga,15:00,Zalgiris Kaunas,Baskonia,1.71,2.2,163.5,1.82,1.92,-2.5,1.95,2.6,0tzPjsw9,0.5847953,0.45454547,0.5494506,0.5208333,0.039340775,0.8,1.0,,,175.88,40.820484,0.23209281,196.586,91.48434,0.46536547,180.832,276.106,156.48,342.72,0.0,0.0,0.0,0.0,0.17722881,0.037813198,0.20203051,3.04,0.608,1.1677631,0.5255887,0.6,0.07441132,-2.36,-0.472,-2.542373,0.37385315,0.5,0.12614685,1,1.0
2024-03-21,Coreia Do Sul Kbl,07:00,Seoul Knights,Wonju DB,1.64,2.25,165.5,1.83,1.91,-3.5,1.94,2.9,ML3NQ1Kt,0.6097561,0.44444445,0.5464481,0.5235602,0.05420054,0.4,0.4,,,148.38,35.102406,0.236571,129.45,16.196663,0.12511906,127.62,132.37,153.9,157.53,0.0,0.0,0.0,0.0,0.22176614,0.030250557,0.28050518,-1.94,-0.388,-1.6494845,0.6578599,0.6,-0.05785994,-0.84,-0.168,-7.4404764,0.7360959,0.6,-0.13609591,1,1.0
2024-03-21,Eua Ncaa,13:40,Brigham Young,Duquesne,1.21,4.67,141.5,1.8,1.95,-10.5,1.95,11.0,S2CIfBzf,0.8264463,0.21413276,0.5555556,0.51282054,0.040579043,0.6,0.4,,,109.596,16.592398,0.15139602,145.028,66.33911,0.45742276,115.928,180.69,129.48,121.98,0.0,0.0,0.0,0.0,0.8321733,0.05656854,0.9883114,0.34,0.068,3.0882354,0.77795404,0.9,0.12204599,1.35,0.27,13.592592,0.47096217,0.4,-0.070962176,1,1.0
2024-03-21,Eua Ncaa,14:30,Creighton,Akron,1.11,7.2,140.5,1.8,1.95,-12.5,1.91,19.0,EgRZJR35,0.9009009,0.1388889,0.5555556,0.51282054,0.03978979,1.0,0.2,,,133.98,38.983433,0.29096457,119.02,44.688717,0.37547234,117.134,132.786,95.63,127.97,0.0,0.0,0.0,0.0,1.0364093,0.05656854,1.1558541,-0.74,-0.148,-0.7432432,0.7902703,0.6,-0.1902703,-2.08,-0.416,-14.903846,0.57673544,0.5,-0.07673544,1,1.0
2024-03-21,Eua Ncaa,16:10,Illinois,Morehead State,1.12,6.9,146.5,1.8,1.95,-12.5,2.0,18.0,2HrC0w3p,0.89285713,0.14492753,0.5555556,0.51282054,0.03778468,0.6,0.6,,,138.924,24.809563,0.17858371,114.036,13.865478,0.1215886,112.818,110.972,155.31,108.36,0.0,0.0,0.0,0.0,1.0192212,0.05656854,1.1313709,-0.08,-0.016,-7.5,0.7422598,0.8,0.057740197,-1.02,-0.204,-28.921568,0.6719231,0.7,0.028076908,1,1.0
2024-03-21,Eua Ncaa,17:30,Dayton,Nevada,1.95,1.87,136.5,1.91,1.91,-1.5,2.05,1.95,MJUsI5YH,0.51282054,0.53475934,0.5235602,0.5235602,0.04757987,0.4,0.6,,,113.294,31.968664,0.28217438,172.456,72.166565,0.41846365,92.276,188.912,92.25,218.12,0.0,0.0,0.0,0.0,0.029617038,0.0,0.03535534,0.78,0.156,6.0897436,0.89101523,1.0,0.1089848,7.41,1.482,0.58704454,0.48003027,0.7,0.21996973,1,1.0
2024-03-21,Polônia Liga De Basquete,13:30,Lancut,Torun,1.82,1.93,163.5,1.8,1.86,-1.5,1.92,2.1,dtVugibq,0.5494506,0.5181347,0.5555556,0.53763443,0.06758527,0.6,0.4,,,248.456,171.8987,0.69186777,188.378,106.62241,0.5660025,187.73,244.226,101.5,367.2,0.0,0.0,0.0,0.0,0.041483596,0.023183828,0.063323,-1.25,-0.25,-3.28,0.0,0.0,0.0,1.21,0.242,3.8429751,0.0,0.0,0.0,1,0.994
2024-03-21,Eua Nba,21:00,Milwaukee Bucks,Brooklyn Nets,1.23,4.52,222.5,1.93,1.93,-10.5,2.0,10.5,xxfAJK9D,0.8130081,0.22123894,0.5181347,0.5181347,0.034247067,0.4,0.4,,,212.788,28.032658,0.13173984,216.31,23.332691,0.10786691,191.366,282.948,243.6,227.7,0.0,0.0,0.0,0.0,0.8091761,0.0,0.9616652,0.42,0.084,2.7380953,0.6645661,0.7,0.035433926,-3.07,-0.614,-5.732899,0.432439,0.3,-0.132439,1,1.0
2024-03-21,Eua Nba,23:30,Phoenix Suns,Atlanta Hawks,1.23,4.52,226.5,1.93,1.93,-10.5,2.03,10.5,Wlj0trHQ,0.8130081,0.22123894,0.5181347,0.5181347,0.034247067,0.4,0.4,,,225.532,40.702328,0.18047251,210.034,31.407114,0.14953348,181.864,186.316,235.4,229.36,0.0,0.0,0.0,0.0,0.8091761,0.0,0.9559768,0.39,0.078,2.9487178,0.6747125,0.8,0.1252875,-1.9,-0.38,-9.263158,0.46961385,0.3,-0.16961384,1,1.0
