Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Porc_Over_Home,Porc_Over_Away,CustoGolHome,CustoGolAway,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_CG_A,DP_CG_A,CV_CG_A,MediaCustoGolHome,MediaCustoGolAway,Last_CG_H,Last_CG_A,Acima_Last_CG_H,Acima_Last_CG_A,Abaixo_Last_CG_H,Abaixo_Last_CG_A,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA,prediction_label,prediction_score
2024-10-24,Eua Nba,20:00,Washington Wizards,Boston Celtics,6.54,1.13,233.5,1.86,1.98,12.5,1.99,1.87,Ual1XwMF,0.1529052,0.88495576,0.53763443,0.5050505,0.037860952,0.6,0.2,,,317.372,203.37503,0.6408096,187.69,28.858837,0.15375799,297.282,169.536,654.9,166.38,1.0,0.0,0.0,0.0,0.9975092,0.044194173,0.043965187,4.56,0.912,6.0745616,0.41361144,0.4,-0.013611439,0.18,0.036,3.6111112,0.66332144,0.7,0.03667856,1,0.9701
2024-10-24,Eua Nba,20:30,Dallas Mavericks,San Antonio Spurs,1.33,3.54,228.5,1.87,1.97,-8.5,2.04,1.81,xQi9VHjS,0.7518797,0.28248587,0.53475934,0.5076142,0.034365576,0.2,0.6,,,184.02,37.599754,0.20432429,243.544,33.24126,0.13648975,190.984,313.52,188.57,289.97,0.0,0.0,0.0,0.0,0.6417684,0.036828477,0.084485486,-1.34,-0.268,-1.2313433,0.57530755,0.5,-0.07530753,-1.25,-0.25,-10.16,0.33009756,0.3,-0.030097565,1,0.8772
2024-10-24,Eua Nba,23:00,Denver Nuggets,Oklahoma City Thunder,1.74,2.17,224.5,1.84,2.0,-2.5,1.95,1.91,McTuQeEk,0.57471263,0.4608295,0.54347825,0.5,0.035542138,0.2,0.2,,,185.008,23.463932,0.12682658,177.094,24.762455,0.13982661,158.492,201.916,202.1,209.56,0.0,0.0,0.0,0.0,0.15552732,0.058925565,0.014655063,-2.35,-0.47,-1.5744681,0.6971675,0.6,-0.09716749,0.39,0.078,15.0,0.50778115,0.6,0.092218846,1,0.979
2024-10-24,Eua Nba,23:00,Sacramento Kings,Minnesota Timberwolves,1.92,1.94,226.5,1.85,1.99,-1.5,2.05,1.82,8ERmOZr2,0.5208333,0.5154639,0.5405405,0.5025126,0.03629725,0.2,0.6,,,187.192,38.66239,0.20653869,220.166,41.131268,0.18681934,175.142,210.286,120.7,198.79,0.0,0.0,0.0,0.0,0.0073275315,0.05155987,0.08404887,-0.75,-0.15,-6.133333,0.5521894,0.2,-0.35218942,-2.88,-0.576,-1.6319444,0.48802269,0.4,-0.08802267,1,0.955
2024-10-24,Rússia Liga Vtb United,13:00,Nizhny Novgorod,Lokomotiv Kuban,2.71,1.47,163.5,1.87,1.92,4.5,2.02,1.92,KOTCQvYo,0.36900368,0.6802721,0.53475934,0.5208333,0.0492758,0.2,0.8,,,187.628,155.98422,0.8313483,112.438,16.419735,0.14603369,112.39,164.46,90.88,109.62,0.0,0.0,0.0,0.0,0.41952747,0.01865717,0.035893746,-2.49,-0.498,-3.433735,0.60266006,0.5,-0.102660075,-2.54,-0.508,-0.9251968,0.5847043,0.5,-0.08470428,1,0.9992
