Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Porc_Over_Home,Porc_Over_Away,CustoGolHome,CustoGolAway,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_CG_A,DP_CG_A,CV_CG_A,MediaCustoGolHome,MediaCustoGolAway,Last_CG_H,Last_CG_A,Acima_Last_CG_H,Acima_Last_CG_A,Abaixo_Last_CG_H,Abaixo_Last_CG_A,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA,prediction_label,prediction_score
2024-05-22,Brasil Nbb,19:00,Minas,Franca,1.81,1.91,161.5,1.8,1.86,-1.5,1.92,2.1,IqJz9RxI,0.5524862,0.5235602,0.5555556,0.53763443,0.0760464,0.6,0.4,,,115.268,12.447342,0.1079861,124.728,23.278553,0.18663454,126.686,123.874,135.2,140.03,0.0,0.0,0.0,0.0,0.038016494,0.023183828,0.063323,1.13,0.226,3.5840707,0.820489,0.9,0.07951099,0.89,0.178,5.1123595,0.6635065,0.8,0.1364935,1,0.9945
2024-05-22,Espanha Acb,15:30,Murcia,Valencia,1.66,2.24,166.5,1.87,1.89,-3.5,1.98,2.51,S45ea6v3,0.60240966,0.44642857,0.53475934,0.52910054,0.04883821,0.6,0.6,,,176.59,59.118526,0.33477846,176.688,40.842785,0.23115766,143.114,185.58,107.38,165.12,0.0,0.0,0.0,0.0,0.21031894,0.0075224126,0.1669339,0.74,0.148,4.4594593,0.0,0.0,0.0,0.55,0.11,11.272727,0.47807208,0.4,-0.078072086,1,1.0
2024-05-22,Eua Nba,21:30,Minnesota Timberwolves,Dallas Mavericks,1.57,2.52,206.5,1.84,2.0,-3.5,1.84,3.2,b3x2uIfB,0.6369427,0.3968254,0.54347825,0.5,0.033768073,0.6,0.2,,,209.8,61.04727,0.29097843,204.374,37.987408,0.18587203,183.092,207.17,204.7,262.08,0.0,0.0,0.0,0.0,0.3284848,0.058925565,0.3816132,0.25,0.05,11.4,0.56913424,0.4,-0.16913421,2.53,0.506,3.0039525,0.5382612,0.9,0.3617388,1,1.0
2024-05-22,China Cba,08:35,Xinjiang,Liaoning,1.6,2.27,197.5,1.8,1.86,-4.5,1.93,2.6,SKJeBfr4,0.625,0.44052863,0.5555556,0.53763443,0.06552863,0.8,0.4,,,148.538,32.466675,0.21857488,143.288,26.872307,0.18754053,151.608,146.668,168.35,185.22,0.0,0.0,0.0,0.0,0.24483801,0.023183828,0.20916624,-0.35,-0.07,-8.571428,0.8186413,0.8,-0.018641284,-2.05,-0.41,-3.097561,0.63938254,0.6,-0.039382536,1,1.0
2024-05-22,Eslováquia Extraliga,13:30,Spisski Rytieri,Levice,1.82,1.9,162.5,1.84,1.86,-1.5,1.94,2.08,vBaehMSg,0.5494506,0.5263158,0.54347825,0.53763443,0.07576634,0.6,0.4,,,178.312,27.541988,0.15445954,121.332,20.997053,0.17305455,123.218,134.876,190.92,156.17,0.0,0.0,0.0,0.0,0.030413195,0.0076443977,0.049251217,-1.29,-0.258,-3.1782947,0.0,0.0,0.0,-0.04,-0.008,-112.5,0.0,0.0,0.0,1,1.0
2024-05-22,Rússia Liga Vtb United,13:00,Unics Kazan,Lokomotiv Kuban,1.58,2.4,158.5,1.81,1.95,-3.5,1.91,2.6,YyJx2J5t,0.6329114,0.41666666,0.5524862,0.51282054,0.04957806,0.4,0.4,,,170.176,21.048685,0.12368774,148.776,10.112778,0.06797318,113.412,155.552,150.48,132.8,0.0,0.0,0.0,0.0,0.29137063,0.05265689,0.21636526,0.68,0.136,4.2647057,0.7985894,0.8,0.0014105686,1.24,0.248,5.645161,0.0,0.0,0.0,1,1.0
