Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_Pontos_H,DP_Pontos_H,CV_Pontos_H,CG_H_Last_Game,Media_Odds_Geral_H,DP_Odds_Geral_H,CV_Odds_Geral_H,Saldo_Gols_H,Avg_CG_A,DP_CG_A,CV_CG_A,Avg_Pontos_A,DP_Pontos_A,CV_Pontos_A,CG_A_Last_Game,Media_Odds_Geral_A,DP_Odds_Geral_A,CV_Odds_Geral_A,Saldo_Gols_A,Goals_Last_H,Goals_Last_A,Last_Odd_H,Last_Odd_A,MediaCustoGolHome,MediaCustoGolAway,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA
2024-02-28,Noruega Blno,14:30,Froya,Gimle,2.1,1.68,162.5,1.86,1.84,1.5,1.96,1.53,6cBG6RdO,0.47619047619047616,0.5952380952380952,0.5376344086021505,0.5434782608695652,0.0714285714285714,164.53,112.6990330482032,0.6849755852926712,1.8,1.6431676725154982,0.9128709291752768,104.04,1.8799999999999997,1.3626444877516657,0.7248108977402479,51.0,124.78,59.144878476500374,0.4739932559424617,3.0,0.0,0.0,229.07999999999996,1.4620000000000002,0.7381531006505356,0.5048926817035126,57.0,102,83,1.02,2.76,112.64200000000001,136.872,0.15713484026367727,0.007644397634449168,0.17424407788551025,-0.22999999999999976,-0.04599999999999995,-23.913043478260896,0.0,0.0,0.0,0.9099999999999999,0.182,3.736263736263736,0.0,0.0,0.0
2024-02-28,Eua Ncaa,20:00,Army,American,2.0,1.8,119.5,1.8,1.91,0.0,0.0,0.0,jcynJEe8,0.5,0.5555555555555556,0.5555555555555556,0.5235602094240838,0.05555555555555558,142.36200000000002,53.16041638286894,0.3734171786211835,1.8,1.6431676725154982,0.9128709291752768,107.00999999999999,2.396,0.7103379477403696,0.29646825865624776,7.0,142.72799999999998,129.08378856386264,0.9044041012545727,1.8,1.6431676725154982,0.9128709291752768,369.59999999999997,2.282,1.866646726083969,0.8179871718159373,25.0,41,66,2.61,5.6,131.78400000000002,161.702,0.07443229275647867,0.04193086033990304,,-1.48,-0.296,-3.3783783783783785,0.53965942181416,0.4,-0.13965942181416002,4.33,0.866,0.9237875288683604,0.4856414562232116,0.6,0.11435854377678839
2024-02-28,Eua Nba,22:00,Chicago Bulls,Cleveland Cavaliers,2.51,1.57,218.5,1.8,2.01,3.5,1.97,1.37,6TTwblWF,0.39840637450199207,0.6369426751592356,0.5555555555555556,0.49751243781094534,0.03534904966122765,317.834,133.96590827520262,0.42149646757490583,1.2,1.6431676725154982,1.3693063937629153,120.65,2.82,1.234220401711137,0.43766680911742445,-12.0,150.334,21.39434457981829,0.14231208229554387,1.8,1.6431676725154982,0.9128709291752768,186.34,1.3699999999999999,0.1593737745050923,0.11633122226649074,0.0,95,121,1.27,1.54,250.304,147.77999999999997,0.3258237128996836,0.07794877902843822,0.25405034054606496,-2.45,-0.49000000000000005,-3.0816326530612237,0.5872413478340361,0.5,-0.08724134783403614,0.09000000000000052,0.018000000000000106,31.666666666666483,0.6550698173904335,0.8,0.14493018260956658
2024-02-28,Eua Nba,21:30,Indiana Pacers,New Orleans Pelicans,1.57,2.51,242.5,1.97,1.97,0.0,0.0,0.0,YFVVaA13,0.6369426751592356,0.39840637450199207,0.5076142131979695,0.5076142131979695,0.03534904966122765,177.14000000000001,50.069367880970894,0.2826542163315507,1.8,1.6431676725154982,0.9128709291752768,169.57999999999998,1.43,0.3028200785945344,0.21176229272345065,21.0,166.086,14.67341235023401,0.08834827950720717,1.8,1.6431676725154982,0.9128709291752768,186.3,1.464,0.2351169921549695,0.16059903835721961,33.0,122,115,1.39,1.62,180.85,200.244,0.3258237128996836,0.0,,-0.5699999999999998,-0.11399999999999996,-5.000000000000002,0.6203151214415805,0.6,-0.02031512144158054,2.33,0.466,3.2403433476394845,0.5551005909912895,0.6,0.04489940900871048
2024-02-28,Eua Ncaa,22:30,Butler,St. Johns,1.83,1.91,153.5,1.91,1.8,0.0,0.0,0.0,SSkPY611,0.5464480874316939,0.5235602094240838,0.5235602094240838,0.5555555555555556,0.07000829685577781,152.83800000000002,32.3331303773699,0.21155164538511295,0.6,1.3416407864998738,2.23606797749979,158.08,2.3420000000000005,0.553868215372574,0.236493687178725,-47.0,153.34,76.47406750003562,0.49872223490306256,1.2,1.6431676725154982,1.3693063937629153,168.0,2.056,1.001913169890485,0.4873118530595744,22.0,64,80,2.47,2.1,131.422,179.98000000000002,0.030250557483916415,0.04193086033990304,,-0.5999999999999999,-0.11999999999999997,-6.916666666666669,0.6605905042590736,0.6,-0.06059050425907364,-5.0,-1.0,-0.9099999999999999,0.4407153892990589,0.3,-0.1407153892990589
