Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Porc_Over_Home,Porc_Over_Away,CustoGolHome,CustoGolAway,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_CG_A,DP_CG_A,CV_CG_A,MediaCustoGolHome,MediaCustoGolAway,Last_CG_H,Last_CG_A,Acima_Last_CG_H,Acima_Last_CG_A,Abaixo_Last_CG_H,Abaixo_Last_CG_A,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA,prediction_label,prediction_score
2024-02-12,Eua Nba,21:00,Charlotte Hornets,Indiana Pacers,5.68,1.16,237.5,1.82,2.06,10.5,2.02,1.92,A5KfmwH4,0.17605634,0.86206895,0.5494506,0.4854369,0.038125303,0.6,0.4,,,459.554,181.56444,0.39508834,203.282,113.8338,0.55997974,378.458,292.632,271.4,140.3,0.0,0.0,0.0,0.0,0.9345388,0.087477125,0.035893746,-2.64,-0.528,-8.863636,0.3257433,0.2,-0.1257433,-0.06,-0.012,-13.333333,0.4118139,0.5,0.08818609,1,1.0
2024-02-12,Eua Nba,21:00,Cleveland Cavaliers,Philadelphia 76ers,1.27,4.07,227.5,1.89,2.03,-10.5,2.04,1.88,ldJbncWA,0.78740156,0.24570024,0.52910054,0.49261084,0.03310182,0.4,0.4,,,175.58,47.121407,0.2683757,244.778,67.20431,0.27455208,229.724,241.598,195.84,189.21,0.0,0.0,0.0,0.0,0.7415352,0.050507627,0.057723004,4.37,0.874,0.3089245,0.60455245,0.8,0.19544753,-0.69,-0.138,-22.246376,0.56043464,0.4,-0.16043463,1,1.0
2024-02-12,Eua Nba,21:30,Atlanta Hawks,Chicago Bulls,1.61,2.41,235.5,1.9,2.02,-3.5,1.99,1.96,IVN2oHoH,0.621118,0.41493776,0.5263158,0.4950495,0.036055773,0.8,1.0,,,299.474,149.13797,0.49799976,269.586,86.34748,0.32029662,250.032,273.302,186.66,290.52,0.0,0.0,0.0,0.0,0.28143555,0.04329225,0.010740862,1.94,0.388,1.5721649,0.59128463,0.6,0.008715392,-1.89,-0.378,-3.7301588,0.40587246,0.4,-0.0058724773,1,1.0
2024-02-12,Eua Nba,21:30,Toronto Raptors,San Antonio Spurs,1.31,3.68,231.5,1.83,2.04,-7.5,2.03,1.91,U9w4ozbU,0.7633588,0.27173913,0.5464481,0.49019608,0.03509791,0.4,0.6,,,345.37,166.63014,0.4824685,394.222,92.18619,0.23384333,256.506,527.938,361.95,277.07,1.0,0.0,0.0,0.0,0.67168057,0.07674027,0.043072496,-3.34,-0.668,-0.46407187,0.4773977,0.2,-0.2773977,-5.0,-1.0,-2.68,0.29062396,0.1,-0.19062397,1,1.0
2024-02-12,Eua Nba,22:00,Houston Rockets,New York Knicks,2.78,1.48,219.5,1.88,2.05,-7.5,1.9,1.9,dMM6py1N,0.35971224,0.6756757,0.5319149,0.4878049,0.035387907,0.6,0.0,,,262.17,63.979095,0.24403667,170.866,31.93442,0.18689746,259.082,207.742,187.65,155.94,0.0,0.0,0.0,0.0,0.43156752,0.06117463,0.0,-1.85,-0.37,-4.810811,0.54716456,0.5,-0.047164537,3.84,0.768,0.625,0.5416617,0.7,0.15833834,1,0.9996
2024-02-12,Eua Nba,22:00,Memphis Grizzlies,New Orleans Pelicans,4.07,1.27,221.5,1.85,2.07,8.5,1.99,1.95,voCBqeGT,0.24570024,0.78740156,0.5405405,0.4830918,0.03310182,0.4,0.2,,,421.222,225.1201,0.5344453,201.084,97.10624,0.48291382,340.382,205.2,316.8,121.83,1.0,0.0,0.0,0.0,0.7415352,0.07936913,0.014357498,1.53,0.306,10.03268,0.44521663,0.4,-0.045216613,2.42,0.484,0.55785125,0.5108103,0.6,0.08918967,1,1.0
2024-02-12,Eua Nba,22:00,Milwaukee Bucks,Denver Nuggets,2.04,1.91,232.5,1.84,2.1,1.5,1.91,2.04,G63wuFOp,0.49019608,0.5235602,0.54347825,0.47619048,0.013756288,0.8,0.4,,,194.722,43.342262,0.22258535,174.98,47.351692,0.27061203,171.53,192.356,174.3,233.2,0.0,0.0,0.0,0.0,0.046543736,0.09332374,0.046543736,-0.92,-0.184,-5.652174,0.73095894,0.7,-0.030958911,-1.71,-0.342,-2.6608188,0.5813985,0.5,-0.08139849,1,1.0
2024-02-12,Eua Nba,22:30,Dallas Mavericks,Washington Wizards,1.13,6.63,246.5,1.89,2.03,-14.5,2.0,1.94,U9iL3b1o,0.88495576,0.15082957,0.52910054,0.49261084,0.035785314,0.8,0.2,,,238.622,51.104374,0.21416456,530.506,240.79636,0.4538994,259.806,512.276,281.78,895.26,0.0,1.0,0.0,0.0,1.0023421,0.050507627,0.021536248,0.53,0.106,1.226415,0.5751846,0.6,0.024815394,3.49,0.698,8.065903,0.26916453,0.4,0.13083547,1,1.0
2024-02-12,Eua Nba,23:00,Utah Jazz,Golden State Warriors,1.86,2.01,242.5,1.89,2.03,-1.5,2.03,1.91,80jP2IGi,0.53763443,0.49751243,0.52910054,0.49261084,0.035146847,0.4,0.2,,,254.728,62.266956,0.24444488,275.254,85.10049,0.30917075,232.914,268.954,245.52,415.27,0.0,0.0,0.0,0.0,0.05481448,0.050507627,0.043072496,0.3,0.06,14.333333,0.52842855,0.8,0.27157143,3.53,0.706,1.4305949,0.47739816,0.6,0.12260183,1,1.0
2024-02-12,Rússia Liga Vtb United,11:00,Astana,Saratov,2.02,1.8,160.5,1.86,1.9,1.5,1.95,1.99,WImY4rvt,0.4950495,0.5555556,0.53763443,0.5263158,0.05060506,0.6,0.2,,,198.852,54.874714,0.27595755,293.364,216.34947,0.73747796,194.622,436.14,178.02,436.65,0.0,0.0,0.0,0.0,0.081446856,0.015044825,0.014357498,-1.95,-0.39,-2.6153846,0.47173578,0.5,0.028264232,-1.25,-0.25,-3.2,0.0,0.0,0.0,1,0.9989
